ETC_20150317_000001	Кепа
ETC_20150317_002717	Кровотечение Стрелка
ETC_20150317_002718	Проникающая Стрела
ETC_20150317_002719	Взрывные Стрела
ETC_20150317_002720	[Craftable]
ETC_20150317_002721	Stamina
ETC_20150317_002722	Attack
ETC_20150317_002723	Скорость Атаки
ETC_20150317_002724	Критическая Скорость
ETC_20150317_002725	Долговечность
ETC_20150317_002726	Всплеск
ETC_20150317_002727	Точность
ETC_20150317_002728	Критическое Сопротивление
ETC_20150317_002729	Всплеск Обороны
ETC_20150317_002730	INT
ETC_20150317_002731	СРП
ETC_20150317_002732	Навык Атаки
ETC_20150317_002733	Сопротивление Магии
ETC_20150317_002734	Землянка Атаки
ETC_20150317_002735	Обод Атаки
ETC_20150317_002736	Магическая Атака
ETC_20150317_002737	Магическая Защита
ETC_20150317_002738	Создает дополнительный слот при надевании
ETC_20150317_002739	Гендер
ETC_20150317_002740	Maximum Socket(s)
ETC_20150317_002741	Продажа магазин
ETC_20150317_002742	Торговлю с игроком
ETC_20150317_002743	Увеличение Потенциальных
ETC_20150317_002744	Продажа цена магазин
ETC_20150317_002745	Оборудовать Уровне
ETC_20150317_002746	Оборудовать Класс
ETC_20150317_002747	Пирсинг
ETC_20150317_002748	Сеча
ETC_20150317_002749	Поразительный
ETC_20150317_002750	Увеличение Диапазона
ETC_20150317_002751	Увеличение диапазона рубить
ETC_20150317_002752	Дальность Атаки
ETC_20150317_002753	Угол Атаки
ETC_20150317_002754	Блок Ставка
ETC_20150317_002755	Повторный Заход
ETC_20150317_002756	Задний Радиус Атаки
ETC_20150317_002757	Использования специфических навыков
ETC_20150317_002758	Возможно
ETC_20150317_002759	Недоступен
ETC_20150317_002760	Критические Атаки
ETC_20150317_002761	Критический Обороны
ETC_20150317_002762	Торгуемые
ETC_20150317_002763	Untradeable
ETC_20150317_002764	Зелье Скорости Восстановления
ETC_20150317_002765	СП восстановление
ETC_20150317_002766	Не продать
ETC_20150317_002767	Пожар Собственности Атаки
ETC_20150317_002768	Лед Собственность Атаки
ETC_20150317_002769	Яд Имущества Атаки
ETC_20150317_002770	Святой Имущества Атаки
ETC_20150317_002771	Темно Собственности Атаки
ETC_20150317_002772	Скорость Передвижения
ETC_20150317_002773	Восстановления HP
ETC_20150317_002774	Нападение на завод типа цели
ETC_20150317_002775	Атака на зверя типа цели
ETC_20150317_002776	Атака на дьявола типа цели
ETC_20150317_002777	Нападение на мутанта типа цели
ETC_20150317_002778	Ветер Имущества Атаки
ETC_20150317_002779	Пожарные Свойства Сопротивление
ETC_20150317_002780	Лед Свойство Сопротивления
ETC_20150317_002781	Яд Свойство Сопротивления
ETC_20150317_002782	Молния Свойство Сопротивления
ETC_20150317_002783	Святой Свойство Сопротивления
ETC_20150317_002784	Темно-Свойство Сопротивления
ETC_20150317_002785	Аое Атака Соотношение
ETC_20150317_002786	Аое Обороны Соотношение
ETC_20150317_002787	2% chance of Дополнительный урон by +300 when attacking
ETC_20150317_002788	3% шанс получить непрерывный ущерб на сумму 20% от Макс HP при атаке
ETC_20150317_002789	4% chance of additional Сопротивление +100 of all when attacked by Магия
ETC_20150317_002790	Молния Собственности Атаки
ETC_20150317_002791	Отдача Мощности
ETC_20150317_002792	Атака на малый Тип цели
ETC_20150317_002793	Атака на средний Тип цели
ETC_20150317_002794	Атаки на большие типа цели
ETC_20150317_002795	Блок
ETC_20150317_002796	Блокировать Проникновение
ETC_20150317_002797	Нападение на ткань Броня цели
ETC_20150317_002798	Нападение на кожаную броню цели
ETC_20150317_002799	Нападение на пластины брони цели
ETC_20150317_002800	Напасть на Призрака Броня цели
ETC_20150317_002801	Магии
ETC_20150317_002802	Пункт ВЫР
ETC_20150317_002803	Расстояние Съемки
ETC_20150317_002804	Скорость
ETC_20150317_002805	Атаки насекомого типа цели
ETC_20150317_002806	Земля Собственность Атаки
ETC_20150317_002807	Земля Собственность Сопротивление
ETC_20150317_002808	Физические повреждения при монтаже
ETC_20150317_002809	Магический урон при монтаже
ETC_20150317_002810	Пирс Обороны
ETC_20150317_002811	Слэш Обороны
ETC_20150317_002812	Забастовка Обороны
ETC_20150317_002813	Максимальная Переносимая Масса
ETC_20150317_002814	Очень Легко
ETC_20150317_002815	Легко
ETC_20150317_002816	Нормальный
ETC_20150317_002817	Hard
ETC_20150317_002818	Очень Тяжело
ETC_20150317_002819	{С22}{ол}следующий квест, уровень: {Auto_1}
ETC_20150317_002820	Площадь: 
ETC_20150317_002821	{@st45w3}{s18}x{Auto_2} {Auto_1} {/}
ETC_20150317_002822	{@st41}Награды получили:
ETC_20150317_002823	{@st64} подойти к ВСНП.и использовать 
ETC_20150317_002824	Пробел
ETC_20150317_002825	 чтобы начать разговор
ETC_20150317_002826	Сдаваться квест
ETC_20150317_002827	Отказаться от
ETC_20150317_002828	Варп до момента завершения процесса
ETC_20150317_002829	Цель: 
ETC_20150317_002830	Воин Типа
ETC_20150317_002831	Мастер Типа
ETC_20150317_002832	Арчер Типа
ETC_20150317_002833	Клерик Типа
ETC_20150317_002834	Колдун Типа
ETC_20150317_002835	Человека-типа
ETC_20150317_002836	Дьявол-типа
ETC_20150317_002837	Завод-типа
ETC_20150317_002838	Зверь-типа
ETC_20150317_002839	Мутант-типа
ETC_20150317_002840	Объект
ETC_20150317_002841	Насекомое-типа
ETC_20150317_002842	Ткань
ETC_20150317_002843	Кожа
ETC_20150317_002844	Металл
ETC_20150317_002845	Цепь
ETC_20150317_002846	Призрак
ETC_20150317_002847	Этот наемник уже принадлежит кому-то другому.
ETC_20150317_002848	Наемник Уровень выше, чем уровень ПК.
ETC_20150317_002849	Наемник был нанят.
ETC_20150317_002850	Наемник был отпустить.
ETC_20150317_002851	Этот наемник уже нанял.
ETC_20150317_002852	Тема вашей казармы был изменен.
ETC_20150317_002853	Вы успешно изменили название вашей команды.
ETC_20150317_002854	Вы не измените название вашей команды.
ETC_20150317_002855	Введите название вашей команды. Название вашей команды будет имя отображаться для других игроков.
ETC_20150317_002856	Эта команда с таким именем уже существует.
ETC_20150317_002857	Коллекция Эффект
ETC_20150317_002858	Список приобретенных
ETC_20150317_002859	Полный список
ETC_20150317_002860	У вас уже есть эта коллекция
ETC_20150317_002861	Коллекция
ETC_20150317_002862	Коллекция была добавлена.
ETC_20150317_002863	Только через НИП может быть зарегистрировано.
ETC_20150317_002864	Получить {Auto_2} от {Auto_1}
ETC_20150317_002865	Суммарные Разведанные
ETC_20150317_002866	изучены
ETC_20150317_002867	{Auto_1} квесты очищается
ETC_20150317_002868	{Auto_1} Рну встретились
ETC_20150317_002869	Оценка {Категория}
ETC_20150317_002870	Ранг
ETC_20150317_002871	Приключения
ETC_20150317_002872	Разведка
ETC_20150317_002873	{Auto_1} коллекции приобрел
ETC_20150317_002874	{Auto_1} достижениями заслужил
ETC_20150317_002875	{Auto_1} миссий очищается
ETC_20150317_002876	Приключения Рейтинге
ETC_20150317_002877	Сбор завершен {Auto_1}
ETC_20150317_002878	Содержание
ETC_20150317_002879	Набор элементов
ETC_20150317_002880	Приобрел
ETC_20150317_002881	Балл заработал
ETC_20150317_002882	Boss
ETC_20150317_002883	Дата
ETC_20150317_002884	Щелкните для перехода к странице товара.
ETC_20150317_002885	Последние
ETC_20150317_002886	Справка
ETC_20150317_002887	Введите ID Вашего друга в название команды
ETC_20150317_002888	Уже в свой список друзей
ETC_20150317_002889	У вас новый запрос на добавление в друзья.
ETC_20150317_002890	Полученные запросы
ETC_20150317_002891	Послал запросы
ETC_20150317_002892	Отклоненных запросов
ETC_20150317_002893	Друзья, кто зарегистрирован на ГС
ETC_20150317_002894	Друзья, кто не играет ГС
ETC_20150317_002895	Кто-то может знать
ETC_20150317_002896	были вместе
ETC_20150317_002897	Сформированные партии
ETC_20150317_002898	Торговали
ETC_20150317_002899	Блок Списка
ETC_20150317_002900	Played together {Count} time(s)
ETC_20150317_002901	Formed a party together {Count} time(s)
ETC_20150317_002902	Traded {Count} time(s)
ETC_20150317_002903	Уже в свой черный список.
ETC_20150317_002904	Пожалуйста, введите имя команды в блок.
ETC_20150317_002905	Имя группы слишком длинное.
ETC_20150317_002906	Содержание Вашего комментария слишком длинный.
ETC_20150317_002907	Памятка Настройки
ETC_20150317_002908	Группа Настроек ?? ??
ETC_20150317_002909	Введите Памятка
ETC_20150317_002910	Параметры Группы
ETC_20150317_002911	Запрос На Добавление В Друзья
ETC_20150317_002912	Ваш запрос на добавление в друзья отправлена.
ETC_20150317_002913	Новая Группа
ETC_20150317_002914	Блок
ETC_20150317_002915	Удалить Группу
ETC_20150317_002916	Изменить Имя Группы
ETC_20150317_002917	Вы уверены, что хотите это удалить??
ETC_20150317_002918	Unblock
ETC_20150317_002919	Запрос на добавление в друзья отправлен не был.
ETC_20150317_002920	Первоначальный взнос
ETC_20150317_002921	Подробнее
ETC_20150317_002922	Местоположение
ETC_20150317_002923	Ранг
ETC_20150317_002924	{От} хочет торговать с вами.
ETC_20150317_002925	Торговый приказ был отклонен.
ETC_20150317_002926	Торговля была отменена.
ETC_20150317_002927	Торговля была успешной.
ETC_20150317_002928	Отправить торговый запрос к {к}.
ETC_20150317_002929	Нет точки сохранения, указанное
ETC_20150317_002930	У вас есть пункт с менее чем 30% прочности осталось.
ETC_20150317_002931	У вас есть элемент с 0% прочности.
ETC_20150317_002932	Этот предмет не может быть потреблено.
ETC_20150317_002933	Эта усовершенствованная пункт не может быть уничтожена.
ETC_20150317_002934	Ваш усиленной товар будет потребляться. Вы уверены, что хотите продолжить??
ETC_20150317_002935	Поле босс будет появляться время от времени
ETC_20150317_002936	Это подготовка функции.
ETC_20150317_002937	{@st59} поделиться этой квест со своими членами партии
ETC_20150317_002938	{@st59} этот квест в настоящее время показано, что члены партии
ETC_20150317_002939	{Имя}'s квест
ETC_20150317_002940	Поиск...
ETC_20150317_002941	Совпадений не найдено.
ETC_20150317_002942	Ждем запись
ETC_20150317_002943	Переезд
ETC_20150317_002944	Игра в прогресс
ETC_20150317_002945	Пвп Магазин
ETC_20150317_002946	Размер
ETC_20150317_002947	Обороны типа
ETC_20150317_002948	Атрибуты элемента
ETC_20150317_002949	Рейтинг
ETC_20150317_002950	Атака Атрибутом
ETC_20150317_002951	Включить Тип атаки
ETC_20150317_002952	Перемещение Типа
ETC_20150317_002953	Маленький
ETC_20150317_002954	Средний
ETC_20150317_002955	Большие
ETC_20150317_002956	Экстра Большие
ETC_20150317_002957	Ghost
ETC_20150317_002958	Нет Атрибута
ETC_20150317_002959	Fire
ETC_20150317_002960	Воды
ETC_20150317_002961	Lightning
ETC_20150317_002962	Poison
ETC_20150317_002963	Темно
ETC_20150317_002964	Святой
ETC_20150317_002965	Earth
ETC_20150317_002966	NA
ETC_20150317_002967	Слэш
ETC_20150317_002968	Пирс
ETC_20150317_002969	Забастовка
ETC_20150317_002970	Волхвыc
ETC_20150317_002971	Физические
ETC_20150317_002972	Далекие
ETC_20150317_002973	Фиксация
ETC_20150317_002974	Наземные
ETC_20150317_002975	Воздушно Типа
ETC_20150317_002976	Элита
ETC_20150317_002977	Last login: {Year} year(s) ago
ETC_20150317_002978	Last login: {Month} month(s) ago
ETC_20150317_002979	Last login: {Day} day(s) ago
ETC_20150317_002980	Last login: {Hour} hour(s) ago
ETC_20150317_002981	Last login: {Min} minute(s) ago
ETC_20150317_002982	Последний вход: только сейчас
ETC_20150317_002983	Временное пространство
ETC_20150317_002984	{Auto_1} л. с. было взыскано
ETC_20150317_002985	{Auto_1} СП было взыскано
ETC_20150317_002986	Присоединяйтесь
ETC_20150317_002987	...Следил за мной!?!??!?
ETC_20150317_002988	Типа тот, кто рядом со мной!
ETC_20150317_002989	Интересно, кто бы победил ~
ETC_20150317_002990	Случайные Game, my favorite + _ +
ETC_20150317_002991	Ах ах~~
ETC_20150317_002992	Приятно! Все кончено
ETC_20150317_002993	БОЛЬШЕЙ ЛИХОРАДКА! Дополнительные атаки и exp будут применены!
ETC_20150317_002994	ЛИХОРАДКА ВРЕМЯ!! Дополнительная атака будет применяться!
ETC_20150317_002995	'ы окно
ETC_20150317_002996	Полный Номер
ETC_20150317_002997	Повышение была успешной.
ETC_20150317_002998	Он был сброшен, поскольку укрепление не удалось..
ETC_20150317_002999	Reward
ETC_20150317_003000	Received
ETC_20150317_003001	Сочетая
ETC_20150317_003002	Напишите
ETC_20150317_003003	Уже получены:
ETC_20150317_003004	Вы должны заполнить Западе Шяуляй лес квест для того, чтобы прогрессировать
ETC_20150317_003005	Найдена археологом маркер!
ETC_20150317_003006	Не нашли ничего.
ETC_20150317_003007	Надгробие Лидия Schaffen завершен. {бл} давайте прочитаем могильной плите снова.
ETC_20150317_003008	Вам не хватает надгробие штук.
ETC_20150317_003009	Квест выполнен!
ETC_20150317_003010	Попытался открыть окно, но не смог.
ETC_20150317_003011	Доступные пометки во время игры
ETC_20150317_003012	Не могут быть использованы таггер
ETC_20150317_003013	Текущее состояние льда
ETC_20150317_003014	Доступен на Запад Шяуляй лес
ETC_20150317_003015	There are no [Beast-type] monsters nearby!
ETC_20150317_003016	Ездить на
ETC_20150317_003017	Используя
ETC_20150317_003018	Первая реакция: снижение скорости передвижения
ETC_20150317_003019	Вторая реакция: наркомания
ETC_20150317_003020	Третьей реакции: обморок
ETC_20150317_003021	Никакой особой реакции
ETC_20150317_003022	Размещение
ETC_20150317_003023	Никаких эффектов
ETC_20150317_003024	Доступен только в условиях открытого, закрытого алмазная Шахта
ETC_20150317_003025	:Упала в обморок! Поражение.
ETC_20150317_003026	Lantern_mushroom: Jibiew Гриба: 50 / Lantern_mushroom: Jibiew Гриба: 50 / Lantern_mushroom: Jibiew Гриба: 50 / Lantern_mushroom_Big: Большая Прижимная Штанга: 51
ETC_20150317_003027	Избавиться от Matsums зарядки!
ETC_20150317_003028	Вы завершили размещение Солнца суть!
ETC_20150317_003029	Предлагая
ETC_20150317_003030	Ты уже совершил жертвоприношение!
ETC_20150317_003031	Эта область уже использует щит.
ETC_20150317_003032	Знакомства...
ETC_20150317_003033	Расстояние от мишени:
ETC_20150317_003034	Выпуская
ETC_20150317_003035	Эта наковальня не соответствует этому типу оборудования.
ETC_20150317_003036	Рейтинг наковальня является низким.
ETC_20150317_003037	[
ETC_20150317_003038	} оно!
ETC_20150317_003039	Вы не можете пройти через этот район еще!
ETC_20150317_003040	Собрать бомбу цветок
ETC_20150317_003041	Полученные Бомбу Цветы!
ETC_20150317_003042	Вы уже получили бомбу цветы!
ETC_20150317_003043	Собирать Замасленный Предохранитель
ETC_20150317_003044	Полученные!
ETC_20150317_003045	У вас уже есть предохранитель!
ETC_20150317_003046	Поставляя ингредиенты
ETC_20150317_003047	Собирая Бомбы
ETC_20150317_003048	Obtained Canyon Bomb (disposable)!
ETC_20150317_003049	У вас уже есть этот товар
ETC_20150317_003050	Полученные Каньон Бомба!
ETC_20150317_003051	Ящик заблокирован!
ETC_20150317_003052	's
ETC_20150317_003053	Серебро
ETC_20150317_003054	Попытка удалить элемент без монстра
ETC_20150317_003055	Навык не доступен
ETC_20150317_003056	Удалить
ETC_20150317_003057	Поражение окружающих монстров, чтобы перейти
ETC_20150317_003058	NPCState нет. 1 должны использоваться в ArgStr1
ETC_20150317_003059	Квест Классname-это не в ArgStr1.
ETC_20150317_003060	Трубадур
ETC_20150317_003061	Смерть ждет вас, если Вы не выиграете!
ETC_20150317_003062	Для Klaipeda!
ETC_20150317_003063	Благословение богини с нами!
ETC_20150317_003064	{/}{#ffFFFF} Hit Me of {/}
ETC_20150317_003065	Меджуда личинок обнаружил опасность и теперь саморазрушающаяся!
ETC_20150317_003066	Избегать меня!
ETC_20150317_003067	Вы не хотите совершить преступление.
ETC_20150317_003068	Я не хочу нападать!
ETC_20150317_003069	Монстр управляет мной!
ETC_20150317_003070	Просто убейте меня вместо него!
ETC_20150317_003071	Я хочу быть свободным...
ETC_20150317_003072	Спасибо...
ETC_20150317_003073	Я в долгу перед вами! Спасибо...
ETC_20150317_003074	Ты заманиваешь меня к богине??
ETC_20150317_003075	Я так боюсь...
ETC_20150317_003076	Где находится это место??
ETC_20150317_003077	Что со мной случилось??
ETC_20150317_003078	Богиня зовет оттуда...
ETC_20150317_003079	Вы привели душу к скульптура Сова!
ETC_20150317_003080	Злые Души
ETC_20150317_003081	Оживший Труп
ETC_20150317_003082	Душа добрался до статуи богини!
ETC_20150317_003083	Успешно созданный.
ETC_20150317_003084	{Auto_1} минут(ы) {Auto_2} секунд.remaining to craft the item
ETC_20150317_003085	{Auto_1} секунд, оставшихся до корабля элемента
ETC_20150317_003086	Товар успешно созданный
ETC_20150317_003087	{Auto_1} раз выезжали для создания элемента
ETC_20150317_003088	Уже сформирован
ETC_20150317_003089	Нет сессии
ETC_20150317_003090	Созданы друг сессии 01
ETC_20150317_003091	Это такое облегчение было познакомиться!
ETC_20150317_003092	Где ты познакомилась с этим парнем??
ETC_20150317_003093	Заключается в том, что один собирается вместе??
ETC_20150317_003094	Я должен присоединиться к Vacenin войска!
ETC_20150317_003095	Я выполню его!
ETC_20150317_003096	Где вы родились??
ETC_20150317_003097	Yekub
ETC_20150317_003098	Это странное соединение
ETC_20150317_003099	Там может быть никто не оставил!
ETC_20150317_003100	Давайте ее выполнения!
ETC_20150317_003101	Ты смешной!
ETC_20150317_003102	Не тот парень тоже нужно имя??
ETC_20150317_003103	Благословение богини!
ETC_20150317_003104	Vacenin " отряд высокопрофессиональных войск
ETC_20150317_003105	Я буду следить из-за спины!
ETC_20150317_003106	И мы посвятили нашу помощь!
ETC_20150317_003107	Я должен идти сейчас
ETC_20150317_003108	Это тег повторяется!
ETC_20150317_003109	Это тег уже прогресс
ETC_20150317_003110	Недостаточное его пометить участников
ETC_20150317_003111	Дать сеанс на компьютер участник
ETC_20150317_003112	Конец тега
ETC_20150317_003113	Сокровище Vubbe появился!
ETC_20150317_003114	Ингибирующее группа была уничтожена. Пожалуйста, начните квест заново!
ETC_20150317_003115	Закрыть
ETC_20150317_003116	Памятник, ведущая на второй этаж появился
ETC_20150317_003117	Памятник, ведущая на второй этаж появился {ея}
ETC_20150317_003118	Защитить группу лидер!
ETC_20150317_003119	Остановить их!
ETC_20150317_003120	Помогите!
ETC_20150317_003121	Откуда они взялись??m??
ETC_20150317_003122	Тьфу!
ETC_20150317_003123	Наблюдайте вне для монстров.
ETC_20150317_003124	Агрессивные растения появляются в этой области
ETC_20150317_003125	Монстры будут атаковать вас, так что избегайте их, когда они приближаются
ETC_20150317_003126	Пожелайте мне удачи
ETC_20150317_003127	Я не боюсь монстров
ETC_20150317_003128	Я хочу закончить все это и просто отдых
ETC_20150317_003129	У меня плохое предчувствие на сегодня.
ETC_20150317_003130	Я не хочу потерять этих парней
ETC_20150317_003131	Я хочу поехать в свой родной город.
ETC_20150317_003132	Нужно сконцентрироваться на них
ETC_20150317_003133	Функции инициализации
ETC_20150317_003134	на петли
ETC_20150317_003135	owner_ssn не доступен
ETC_20150317_003136	ни один родитель ПК доступен
ETC_20150317_003137	SSN_OBJECT_Хранения сессии не дали
ETC_20150317_003138	Принимаем Миссию
ETC_20150317_003139	Cancel
ETC_20150317_003140	Можно торговать сразу через мгновенный магазин
ETC_20150317_003141	Открытие замка
ETC_20150317_003142	Пустая коробка
ETC_20150317_003143	Нужно избавиться /3
ETC_20150317_003144	Хранитель договора возникла!
ETC_20150317_003145	Опекун контракта
ETC_20150317_003146	Коробка
ETC_20150317_003147	Спросить что происходит
ETC_20150317_003148	Оставить
ETC_20150317_003149	Я не могу вам что-нибудь вырастить, как сад
ETC_20150317_003150	Оставить
ETC_20150317_003151	Спросите, если он не влюблен
ETC_20150317_003152	Дай похлопать по плечу
ETC_20150317_003153	No
ETC_20150317_003154	Показать копию мемориального камня
ETC_20150317_003155	Рассказать историю о встрече души потерянной леди
ETC_20150317_003156	Сказать " ОК " и просто оставить
ETC_20150317_003157	How dare you? Let go you human!
ETC_20150317_003158	Kyaoow!
ETC_20150317_003159	Groowwl...!!
ETC_20150317_003160	Реальный остроумие в ворота Великого короля
ETC_20150317_003161	] должно быть завершено до прохождения через
ETC_20150317_003162	Кто-то может владеть ею так просто скопировать его
ETC_20150317_003163	Победить Орду Vubbes!
ETC_20150317_003164	Вам необходимо поместить кристалл в районе 9, для того чтобы идти вниз
ETC_20150317_003165	Вы можете спуститься вниз отклоненные Спектер
ETC_20150317_003166	Вам нужны Vubbe Holystone
ETC_20150317_003167	Dungeon Vubbe Holystone
ETC_20150317_003168	Предлагаем
ETC_20150317_003169	Подземелье Vubbe Holystone требуется
ETC_20150317_003170	Я дам
ETC_20150317_003171	Да
ETC_20150317_003172	No
ETC_20150317_003173	Чувствует Лири поэтому просто скопируйте его
ETC_20150317_003174	Давайте искать
ETC_20150317_003175	Стоп. Не похоже, что там что-нибудь есть.
ETC_20150317_003176	Давайте взглянем на это
ETC_20150317_003177	Позвольте мне положить свои руки в его
ETC_20150317_003178	Давайте ставить только одну руку снова
ETC_20150317_003179	Стоп. Это больно.
ETC_20150317_003180	Стоп. Это страшно.
ETC_20150317_003181	Взять его
ETC_20150317_003182	Съесть его
ETC_20150317_003183	Попробуйте съесть его
ETC_20150317_003184	Должен попробовать его едят
ETC_20150317_003185	Чудеса Kateen лес
ETC_20150317_003186	В силу всего шесть камней не хватает
ETC_20150317_003187	Рок Vubbe Горняк
ETC_20150317_003188	Кирка Шахтера Vubbet
ETC_20150317_003189	Пахнет некоторых мелочных людей
ETC_20150317_003190	Рыцарь Uska
ETC_20150317_003191	Soldier
ETC_20150317_003192	Подробное описание пропускается
ETC_20150317_003193	Хорошая работа!
ETC_20150317_003194	Переместить Кристалл Шахты Лот 2 - 2-ой этаж
ETC_20150317_003195	Расследование
ETC_20150317_003196	Сбор
ETC_20150317_003197	Vubbe Племя Флаг
ETC_20150317_003198	Уничтожить флаг Vubbe племени!
ETC_20150317_003199	Поставив бомбу
ETC_20150317_003200	Секрет прохождения Vubbes
ETC_20150317_003201	Отпор Vubbes и установить бомбу в секретный проход
ETC_20150317_003202	Монстры пытаются избавиться от уплотнения! Избавиться от них!
ETC_20150317_003203	Vubbe Лучник Солдата
ETC_20150317_003204	Vubbe Солдата
ETC_20150317_003205	Вам нужно идти к богине быстро
ETC_20150317_003206	Почему так много монстров вдруг??
ETC_20150317_003207	Помогите!
ETC_20150317_003208	Я не могу выбраться!
ETC_20150317_003209	Пожалуйста, уничтожьте это!
ETC_20150317_003210	Собирая Пламени Паров
ETC_20150317_003211	Грите отражение
ETC_20150317_003212	Будьте осторожны!
ETC_20150317_003213	Ты в опасности!
ETC_20150317_003214	Что это??
ETC_20150317_003215	Нет времени болтать!
ETC_20150317_003216	Вы должны пойти быстро
ETC_20150317_003217	You..
ETC_20150317_003218	Получили повреждения
ETC_20150317_003219	Dead
ETC_20150317_003220	NPC нажмите
ETC_20150317_003221	Внутри триггера диапазон
ETC_20150317_003222	Вне триггера диапазон
ETC_20150317_003223	Я получил товар
ETC_20150317_003224	Товар был отброшен или украден
ETC_20150317_003225	Использованный товар
ETC_20150317_003226	Оборудованный пункт
ETC_20150317_003227	Удален пункт
ETC_20150317_003228	Используемый навык
ETC_20150317_003229	Вошли в зону
ETC_20150317_003230	Покинул зону
ETC_20150317_003231	Получили Бафф
ETC_20150317_003232	Убрали Бафф
ETC_20150317_003233	Снимаются все баффы
ETC_20150317_003234	BroadMSG регистрации
ETC_20150317_003235	Получать события пользовательского интерфейса
ETC_20150317_003236	Cast
ETC_20150317_003237	Ритуал благословения
ETC_20150317_003238	Вам не хватает жертв для церемонии
ETC_20150317_003239	In Стойка of [Forgotten Sanctuary]
ETC_20150317_003240	Нажмите, чтобы приступить к церемонии благословения
ETC_20150317_003241	Требуется! {бл} может быть получена из резного Филина поблизости
ETC_20150317_003242	Вы можете спокойно пройти через барьер, если у вас есть миска
ETC_20150317_003243	Эти ворота заблокированы {ея} Вам нужна помощь резная Сова пройти через
ETC_20150317_003244	Сбор
ETC_20150317_003245	Я нашел тропу разведчика войск
ETC_20150317_003246	Алтарь магии
ETC_20150317_003247	Послушная Сова Изображения
ETC_20150317_003248	Jalias Truffle
ETC_20150317_003249	Монстр был атакован во время утешения души!
ETC_20150317_003250	Сова Статуя
ETC_20150317_003251	Опавшие Резные Сова
ETC_20150317_003252	Свирепый Дух
ETC_20150317_003253	Игра интересная... Grrrr...
ETC_20150317_003254	Искать сухие веточки...
ETC_20150317_003255	Полученные сухие веточки колючие леса!
ETC_20150317_003256	Нет больше сухих веток слева в колючие леса
ETC_20150317_003257	Шар выстрел
ETC_20150317_003258	Сбор маршрутов
ETC_20150317_003259	Во время бодрствования в остатках памяти.
ETC_20150317_003260	Matsum v13 и
ETC_20150317_003261	Убивать монстров!
ETC_20150317_003262	Действие активных камни отключена!
ETC_20150317_003263	Действие активных камни отключена!{бл} Вы можете получать активный Бафф снова если вы вернетесь к Мавзолею глушителя инструкция
ETC_20150317_003264	Поглощая энергию
ETC_20150317_003265	Удаление
ETC_20150317_003266	Разбудили Boowook
ETC_20150317_003267	Проснувшись
ETC_20150317_003268	Выпуская
ETC_20150317_003269	Ключевые местных войск отсутствует
ETC_20150317_003270	Предлагали местные войска!
ETC_20150317_003271	Освящение источника питания
ETC_20150317_003272	Освятил источник питания!
ETC_20150317_003273	Источник питания не хватает
ETC_20150317_003274	Избавиться от зловещей души
ETC_20150317_003275	Выключение хранителя устройство
ETC_20150317_003276	Выключил местного опекуна устройство
ETC_20150317_003277	Это местный страж прибор выключен
ETC_20150317_003278	Пуск рычагом
ETC_20150317_003279	Победить босса на 2 этаже Королевского Мавзолея.
ETC_20150317_003280	Перезапуск
ETC_20150317_003281	Сбора конденсированной волшебный источник
ETC_20150317_003282	Вам нужно избавиться от фантома
ETC_20150317_003283	Верный Вассал
ETC_20150317_003284	Освободили верные слуги
ETC_20150317_003285	Победить медведя целом!
ETC_20150317_003286	Заманить могила воинов в ловушку и убить их!
ETC_20150317_003287	Этот путь не позволил вам
ETC_20150317_003288	Поражение призываемые монстры!
ETC_20150317_003289	Победить монстров!
ETC_20150317_003290	Defeat Medakia!
ETC_20150317_003291	Зарядка души
ETC_20150317_003292	Льется волшебный источник
ETC_20150317_003293	Кувшин был заполнен!
ETC_20150317_003294	Королевский Мавзолей Воинов
ETC_20150317_003295	Высокого уровня электрошокер
ETC_20150317_003296	Устройство Для Извлечения
ETC_20150317_003297	Низкого уровня электрошокер
ETC_20150317_003298	Подавитель
ETC_20150317_003299	Поражение Madakia с помощью магического устройства!
ETC_20150317_003300	Не уничтожить ингибирующие группы!
ETC_20150317_003301	Поражение Королевского Мавзолея воины!
ETC_20150317_003302	Победить монстров!
ETC_20150317_003303	Поражение Rexipher и монстров!
ETC_20150317_003304	] должны быть завершены, чтобы пройти через
ETC_20150317_003305	Песни трогают сердце, так давайте копировать
ETC_20150317_003306	Нашел подсвеченный фонтан
ETC_20150317_003307	Здание
ETC_20150317_003308	Невозможно передать, потому что чудовище, преграждая путь. {бл}
ETC_20150317_003309	Возвращайся!
ETC_20150317_003310	Кусок дерева с дайвинг мощность
ETC_20150317_003311	ЕА полученные
ETC_20150317_003312	Полученные суть души
ETC_20150317_003313	Are you telling me to die again?!
ETC_20150317_003314	Это бред!
ETC_20150317_003315	Вы хладнокровный дурак!
ETC_20150317_003316	Ты ничем не отличаешься от того, кто убил меня!
ETC_20150317_003317	Я вижу.. пожалуйста, используйте это хорошо..
ETC_20150317_003318	Я ждал тебя..
ETC_20150317_003319	Убеждая
ETC_20150317_003320	Душа превратилась враждебной! {бл} Вы должны получить существо души насильно!
ETC_20150317_003321	Вы получили Meduja личинок
ETC_20150317_003322	Получен потерянный пакет
ETC_20150317_003323	Спасибо.. Вы так любезны..
ETC_20150317_003324	Принимая записку.
ETC_20150317_003325	Вы скопировали надписи на мемориальном камне паломников
