SKILL_20150317_000001	Атака
SKILL_20150317_001073	{#339999}{ol}[Sleep]{/}{/} Duration: #{SkillFactor}# seconds{nl}Attack Threshold: #{CaptionRatio}#
SKILL_20150317_001074	Reflect Shield
SKILL_20150317_001075	Создает защитный щит, который отражает усиленный урон по цели.
SKILL_20150317_001076	Damage Отражение: #{CaptionRatio}#{nl}Duration: #{CaptionTime}# seconds{nl}Reflects #{CaptionRatio2}# times
SKILL_20150317_001077	Землетрясение
SKILL_20150317_001078	{#993399}{ol}[Magic] - [Earth]{/}{/}{nl} Inflicts damage on an enemy by causing a powerful earthquake in front of you.
SKILL_20150317_001079	Surespell
SKILL_20150317_001080	Кастинг навык не будет отменено, когда на тебя нападают.
SKILL_20150317_001081	Duration #{CaptionTime}# seconds
SKILL_20150317_001082	Магическая Стрела
SKILL_20150317_001083	{#993399}{ol}[Magic]{/}{/}{nl} Fires Магическая Стрелаs at the target
SKILL_20150317_001084	Attack #{SkillAtkAdd}#{nl}3 Magic Missiles
SKILL_20150317_001085	Быстрая Литые
SKILL_20150317_001086	Литые времени снизилась.
SKILL_20150317_001087	Cast Time: -#{CaptionRatio}#%{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001088	Fireball
SKILL_20150317_001089	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Summons a stationary fireball. You can blow it up by hitting it with a sword attack.
SKILL_20150317_001090	Attack #{SkillAtkAdd}#{nl}Attack #{SkillSR}# times{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001091	Огненная Стена
SKILL_20150317_001092	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Creates a flame Барьер inflicting damage to nearby enemies.
SKILL_20150317_001093	Attack #{SkillAtkAdd}#{nl}#{CaptionRatio}# Fire Wall #{nl}Attack #{CaptionRatio2}# times{nl}Duration 15 seconds
SKILL_20150317_001094	Зачаровать Огнем
SKILL_20150317_001095	Гранты пожара имущества в створ. Дополнительный урон применяется к вашей базовой атаки.
SKILL_20150317_001096	Fire Property Attack: +#{CaptionRatio}#{nl}Additional Damage: +#{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001097	Блики
SKILL_20150317_001098	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Inflicts damage by exploding the enemy affected by a status effect. This excludes both petrified and Замороженные status effects.
SKILL_20150317_001099	Attack #{SkillAtkAdd}#
SKILL_20150317_001100	Огонь Столпа
SKILL_20150317_001101	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Summon a fire pillar to damage a target.
SKILL_20150317_001102	Attack #{SkillAtkAdd}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001103	Ад Дыхание
SKILL_20150317_001104	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl} Continuously Сжечь enemies with a cone of fire.
SKILL_20150317_001105	Attack #{SkillAtkAdd}#{nl}Consume #{CaptionRatio}#% SP per 0.5 seconds
SKILL_20150317_001106	Ice Bolt
SKILL_20150317_001107	{#993399}{ol}[Magic] - [Ice] - [Pierce]{/}{/}{nl} Inflicts damage to a target by launching a bolt of ice and has a chance to freeze the the target.
SKILL_20150317_001108	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Frozen]{/}{/} Duration 3 seconds
SKILL_20150317_001109	Ice Pike
SKILL_20150317_001110	{#993399}{ol}[Magic] - [Ice] - [Pierce] {/} {/}} {nl} Inflicts damage to a target by launching a wave of ice and has a chance to freeze the target.
SKILL_20150317_001111	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Frozen]{/}{/} Duration 4 seconds
SKILL_20150317_001112	Создать барьер из льда с шансом заморозить врагов.
SKILL_20150317_001113	Ice Wall #{CaptionRatio}# {nl}{#339999}{ol}[Ice]{/}{/}{nl} Duration 3 seconds {nl} Ice Wall Duration 10 seconds
SKILL_20150317_001114	Ледяной Взрыв
SKILL_20150317_001115	{#993399}{ol}[Magic] - [Ice]{/}{/}{nl} Inflicts damage by shattering a frozen target.
SKILL_20150317_001116	{#339999}{ol}[Ice]{/}{/} Attacks to Targets #{SkillAtkAdd}#
SKILL_20150317_001117	Создать стену льда, чтобы временно защитить себя от атак врагов.
SKILL_20150317_001118	Enemies attacked {#339999}{ol}[Ice]{/}{/}Rate 50% {nl} {#339999}{ol}[Ice]{/}{/}Duration 3 seconds
SKILL_20150317_001119	Порыв
SKILL_20150317_001120	Создает порыв ветра, который отталкивает цель. Наносит урон по целям, которые были заморожены или поблизости ледяной стены.
SKILL_20150317_001121	Мороз Столб
SKILL_20150317_001122	Повестка дерево льда на земле тянуть ближайших целей и заморозить их случайно.
SKILL_20150317_001123	{#339999}{ol}[Ice]{/}{/}Chance #{CaptionRatio}#%{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001124	Психическое Давление
SKILL_20150317_001125	{#993399}{ol}[Magic]{/}{/}{nl}Inflicts continuous damage to targets in front of you.
SKILL_20150317_001126	Attack #{SkillAtkAdd}#{nl}Splash #{CaptionRatio}#{nl}Consume #{CaptionRatio2}#% of SP per second.
SKILL_20150317_001127	Telekinesis
SKILL_20150317_001128	{#993399}{ol}[Magic]{/}{/}{nl}Захватs targets in front of you using psychokinesis.{nl}Inflicts damage by throwing the captured target to a direction using your arrow keys. 
SKILL_20150317_001129	Attack #{SkillAtkAdd}#{nl}Attack count #{CaptionRatio}# times {nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001130	Своп
SKILL_20150317_001131	ОСП вашу позицию с врагом.
SKILL_20150317_001132	Targets #{CaptionRatio}#{nl}Limited Range 20{nl}
SKILL_20150317_001133	Телепортация
SKILL_20150317_001134	Телепортирует вас в случайное место.
SKILL_20150317_001135	Maximum Teleport Distance #{CaptionRatio}#
SKILL_20150317_001136	Магнитная Сила
SKILL_20150317_001137	{#993399}{ol}[Magic]{/}{/}{nl}Inflicts damage by drawing in the target at a targeted area. 
SKILL_20150317_001138	Raise
SKILL_20150317_001139	Лифт цели в воздух.
SKILL_20150317_001140	Targets: #{CaptionRatio}#{nl}Duration: #{CaptionRatio2}# seconds
SKILL_20150317_001141	Гравитационный Полюс
SKILL_20150317_001142	Создать гравитационное поле, которое тянет всех ближайших врагов.
SKILL_20150317_001143	Target #{CaptionRatio}#{nl}Max. duration 5 seconds
SKILL_20150317_001144	Отменить привязку
SKILL_20150317_001145	Отсоедините все ссылки.
SKILL_20150317_001146	Отсоедините все ссылки сразу.{nl}Максимальный уровень: 1
SKILL_20150317_001147	Физическая Связь
SKILL_20150317_001148	Ссылка членов партии, чтобы разделить урон.
SKILL_20150317_001149	More links results to less damage{nl} Max. Link #{CaptionRatio}#{nl}Duration #{CaptionTime}# seconds{nl}Consume 16% of Stamina
SKILL_20150317_001150	Совместная Казнь
SKILL_20150317_001151	Ссылка врагами вместе. Ущерб, нанесенный одной связанной враг наносил на всех подключенных.
SKILL_20150317_001152	Maximum Links: #{SkillFactor}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001153	Удавки
SKILL_20150317_001154	Группирует вместе все связаны врагов.
SKILL_20150317_001155	Собираются раз в 0.3 секунд
SKILL_20150317_001156	Духовные Цепи
SKILL_20150317_001157	Ссылка партийцев и поделиться Бафф эффекты.
SKILL_20150317_001158	Пуповину
SKILL_20150317_001159	Поделиться обороны и HP с этим связанным створ.
SKILL_20150317_001160	Physical Defense Passed #{CaptionRatio}#{nl} HP Восстановление passed #{CaptionRatio2}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001161	Отекать Левая Рука
SKILL_20150317_001162	Увеличивает вашу атаку, увеличивая вашу левую руку.
SKILL_20150317_001163	Physical Attack +#{CaptionRatio}#{nl}Magic Attack +#{CaptionRatio}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001164	Сжать Тело
SKILL_20150317_001165	Сжимает Размер целевых тела.
SKILL_20150317_001166	Large → Medium → Small {nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001167	Набухают Тела
SKILL_20150317_001168	Увеличивает Размер цели тела. 
SKILL_20150317_001169	Small → Medium → Large {nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001170	Транспонировать
SKILL_20150317_001171	Временно заменяет ваш инт и кон.
SKILL_20150317_001172	Реверси
SKILL_20150317_001173	Изменения в противника магический квадрат в дружественной магический квадрат. 
SKILL_20150317_001174	Изменения в противника магический круг дружественным в указанную область.{nl}Максимальный уровень: 1
SKILL_20150317_001175	Отекать Правая Рука
SKILL_20150317_001176	Увеличивает вашу атаку, увеличивая вашу правую руку.
SKILL_20150317_001177	Пухнуть Мозг
SKILL_20150317_001178	Увеличивает вашу голову. 
SKILL_20150317_001179	На электрическом стуле
SKILL_20150317_001180	{#993399}{ol}[Magic] - [Lightningity]{/}{/}{nl}Shoot lightning that chains between nearby enemies.
SKILL_20150317_001181	Attack #{SkillAtkAdd}#{nl}Target #{CaptionRatio}#
SKILL_20150317_001182	Каменное Проклятие
SKILL_20150317_001183	Остолбенеть створ.
SKILL_20150317_001184	Duration #{CaptionTime}# seconds{nl}Splash #{CaptionRatio}#
SKILL_20150317_001185	Град
SKILL_20150317_001186	{#993399}{ol}[Magic] - [Ice]{/}{/}{n}Shards of ice fall upon the targeted area and damage enemies.
SKILL_20150317_001187	Известность
SKILL_20150317_001188	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Swathes of fire appear around you. Fire randomly moves and damage enemies.
SKILL_20150317_001189	Attack #{SkillAtkAdd}#{nl}Duration 15 seconds
SKILL_20150317_001190	Метеор
SKILL_20150317_001191	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Drop a meteor on the targeted area to damage enemies.
SKILL_20150317_001192	Attack #{SkillAtkAdd}#{nl}Cast Time #{CaptionTime}# seconds{nl}Splash #{SkillSR}#
SKILL_20150317_001193	Призыватель
SKILL_20150317_001194	Вызывать духов, которые следуют за вами.
SKILL_20150317_001195	Атаковать Наземные
SKILL_20150317_001196	Будучи вызван перемещается к цели и атакует врагов поблизости.
SKILL_20150317_001197	Езда
SKILL_20150317_001198	Поездка на верхней части вызвали духа.
SKILL_20150317_001199	Morph
SKILL_20150317_001200	Оживи
SKILL_20150317_001201	Дают Бафф, который увеличивает скорость передвижения на 1 союзника.
SKILL_20150317_001202	Перевоплощаться
SKILL_20150317_001203	Возрождается монстр сразу же после того, как она убита.
SKILL_20150317_001204	{#6644FF}{ol}[Fire]{/}{/}Attribute {nl} Attack #{SkillFactor}#% + #{SkillAtkAdd} per 0.5 seconds# damage {nl} Duration 10 seconds {nl}Consume #{{nl} SpendSP}# SP
SKILL_20150317_001205	Стоп
SKILL_20150317_001206	Монстры держат их текущее состояние. Все монстры в зоне будут прекратить свои действия.
SKILL_20150317_001207	Медленно
SKILL_20150317_001208	Movement Speed -#{CaptionRatio}#%{nl}Slow Duration: 5 seconds {nl}Consumes #{SpendSP}# SP
SKILL_20150317_001209	Поспешность
SKILL_20150317_001210	Обратно Маскировки
SKILL_20150317_001211	Меняет время в целевой зоне в Предыдущее состояние.
SKILL_20150317_001212	Собрать Труп
SKILL_20150317_001213	Собрать из частей тела убитых врагов в целевой области.
SKILL_20150317_001214	Создать Shoggoth
SKILL_20150317_001215	Использование трупов для призыва Shoggoth из некрономикона.
SKILL_20150317_001216	Плоть Пушка
SKILL_20150317_001217	Бросить мертвых частей в целевой области.
SKILL_20150317_001218	Плоть Обруч
SKILL_20150317_001219	Окружите себя стену из трупов, которые наносят урон по монстрам в радиусе.
SKILL_20150317_001220	Грязные Стены
SKILL_20150317_001221	Извлечения
SKILL_20150317_001222	Сгорания
SKILL_20150317_001223	Магия Pavise
SKILL_20150317_001224	Dig
SKILL_20150317_001225	Обжиг
SKILL_20150317_001226	Брикетирование
SKILL_20150317_001227	Подкраски
SKILL_20150317_001228	Магнум Опус
SKILL_20150317_001229	Создать магический барьер над целевой зоной, который блокирует атаки врага.
SKILL_20150317_001230	Lv.1 Duration #{CaptionTime}# seconds, block 6 times, Maximum Targets: #{CaptionRatio}# Lv.2 Duration #{CaptionTime}# seconds, block 6 times, Maximum Targets: #{CaptionRatio}# Lv.3 Duration #{CaptionTime}# seconds, block 6 times, Maximum Targets: #{CaptionRatio}#
SKILL_20150317_001231	Создать зону тумана перед. Точность врагов расположенном в тумане уменьшаться.
SKILL_20150317_001232	Duration #{CaptionTime}# seconds, Accuracy -#{CaptionRatio}#%{nl}Consume #{SpendSP}# SP
SKILL_20150317_001233	Shock the enemies under [Freeze] nearby and inflict damage.
SKILL_20150317_001234	Lv.1 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.2 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.3 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.4 Attack rate #{SkillFactor}#, Splash #{SkillSR}# Lv.5 Attack rate #{SkillFactor}#, Splash #{SkillSR}#
SKILL_20150317_001235	Apply [Curse] to the target and reduce its defense
SKILL_20150317_001236	Lv.1 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Duration: #{CaptionTime}# seconds Lv.2 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Duration: #{CaptionTime}# seconds Lv. 3 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Duration: #{CaptionTime}# seconds Lv.4 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Duration: #{CaptionTime}# seconds Lv.5 Defense, Magic Resistance: -#{CaptionRatio}#% {nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001237	Inflicts damage on targets who are affected by [Curse]. Every 3rd attack inflicts greater damage.
SKILL_20150317_001238	Lv.1 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.2 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.3 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.4 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}# Lv.5 Attack Rate: #{SkillFactor}#, Attack Rate every 3rd attack: #{CaptionRatio}#{nl}Range: #{Arg1}#
SKILL_20150317_001239	Inflicts damage to nearby enemies by summoning an aura of [Addiction].
SKILL_20150317_001240	Lv.1 Attack Rate #{SkillFactor}# of damage every 0.5 seconds {nl}Duration: #{CaptionTime}# seconds Lv.2 Attack Rate every #{SkillFactor}# of damage every 0.5 seconds {nl}Duration #{CaptionTime}# seconds Lv.3 attack rate every #{SkillFactor}# of damage every 0.5 seconds {nl}Duration: #{CaptionTime}# seconds Lv.4 Attack Rate every #{SkillFactor}# of damage every 0.5 seconds {nl}Duration: #{CaptionTime}# seconds Lv.5 Attack Rate every #{SkillFactor}# of damage every 0.5 seconds {nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001241	Нарисуйте Нуар войны на земле. Увеличивает str и int в активных союзников.
SKILL_20150317_001242	Lv.1 STR, INT: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.2 STR, INT: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.3 STR, INT: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.4 STR, INT: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv. 5 STR, INT: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes
SKILL_20150317_001243	Нарисуйте Нуар смерти на земле. Повышает кон и АГИ активных союзников.
SKILL_20150317_001244	Lv.1 CON, AGI: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl}Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.2 CON, AGI: +#{CaptionRatio2}#, Applies to a maximum of #{CaptionRatio}# players{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.3 CON, AGI: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv.4 CON, AGI: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes Lv. 5 CON, AGI: +#{CaptionRatio2}#, Maximum Targets: #{CaptionRatio}#{nl} Skill Duration: #{CaptionTime}# seconds, Buff duration 2 minutes
SKILL_20150317_001245	В данный момент в разработке
SKILL_20150317_001246	Вызвать магический круг, который исцеляет союзников.
SKILL_20150317_001247	Мрамор
SKILL_20150317_001248	Черная Дыра
SKILL_20150317_001249	Изменение НР и СП и создать оборонный щит.
SKILL_20150317_001250	Change HP and SP, Create defense shield of #{CaptionTime}% of MHP for # seconds
SKILL_20150317_001251	Временно увеличивает атаку и СП потребления всех навыков.
SKILL_20150317_001252	Attack + #{CaptionRatio}#%{nl}SP consumed +50% {nl}Duration 30 seconds{nl}Consume #{SpendSP}# SP
SKILL_20150317_001253	Всех врагов в целевой области собрались вместе и поврежденные.
SKILL_20150317_001254	Duration #{CaptionTime}# seconds, Defend 6 times, Maximum Targets: #{CaptionRatio}#
SKILL_20150317_001255	Окружают цель с мощной энергетикой. Нанести урон окружающим цель.
SKILL_20150317_001256	Attack rate #{SkillFactor}#, Splash #{SkillSR}#
SKILL_20150317_001257	Drop meteor around and inflict [Fire] damage on enemies.
SKILL_20150317_001258	[Fire] [Strike] Damage + #{SkillFactor}#{nl} meteor count #{CaptionRatio}#{nl} Dog Splash #{SkillSR}#{nl} consumption SP #{SpendSP}#
SKILL_20150317_001259	Заморозить противника.
SKILL_20150317_001260	Обратный отсчет
SKILL_20150317_001261	Повернуть время вспять союзников. НР, СП, ста, умение круто
SKILL_20150317_001262	Призвать духа, который атакует во время движения.
SKILL_20150317_001263	Использование собственного демона, чтобы нанести урон ближайшим врагам.
SKILL_20150317_001264	Дух получает все повреждения от призывателя.
SKILL_20150317_001265	Создать клон себя и отойти от зоны после использования навыка.
SKILL_20150317_001266	Добавление Бафф на скорость атаки
SKILL_20150317_001267	Сделать землю мастерство врагов оказаться полезными союзниками.
SKILL_20150317_001268	test
SKILL_20150317_001269	Мульти-Съемка
SKILL_20150317_001270	{#DD5500}{ol}[Physical] - [Missile]{/}{/}{nl}Charge up and then quickly launch multiple shots at a targeted area.
SKILL_20150317_001271	Attack: #{SkillAtkAdd}#{nl}Number of Shots: #{CaptionRatio}#
SKILL_20150317_001272	Полное Рисовать
SKILL_20150317_001273	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Fire a shot that can skewer enemies together.
SKILL_20150317_001274	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Skew]{/}{/} Duration #{CaptionTime}# seconds
SKILL_20150317_001275	С Колена Стрелял
SKILL_20150317_001276	{#DD5500}{ol}[Physical] - [Pierce]{/}{/} {nl}Kneel to increase attack speed, damage, and range.
SKILL_20150317_001277	Physical Damage + #{CaptionRatio}#{nl} Range + #{CaptionRatio2}#
SKILL_20150317_001278	Быстрым Шагом
SKILL_20150317_001279	Увеличение скорости передвижения во время атаки.
SKILL_20150317_001280	Moving Shot Movement Speed: +#{SkillFactor}#%{nl}Defense: -#{CaptionRatio}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001281	Косой Удар
SKILL_20150317_001282	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Fire an arrow that bounces off of the target to hit an adjacent enemy.
SKILL_20150317_001283	Attack #{SkillAtkAdd}#{nl}Bounced arrow damage #{CaptionRatio}#%
SKILL_20150317_001284	Шквал
SKILL_20150317_001285	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Shoot 5 arrows forward in an arc towards the ground.
SKILL_20150317_001286	Высокие Крепления
SKILL_20150317_001287	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Pull your bowstring back to strongly shoot an arrow that penetrates through enemies in front of you.
SKILL_20150317_001288	Критический Выстрел
SKILL_20150317_001289	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Shoot arrow to target with high chance of critical.
SKILL_20150317_001290	Attack #{SkillAtkAdd}#{nl}Additional Critical Chance 50%
SKILL_20150317_001291	Твердая Рука
SKILL_20150317_001292	Attak увеличение мощности, но скорость атаки уменьшается.
SKILL_20150317_001293	Additional Damage: +#{CaptionRatio}#{nl}Attack Speed: -#{CaptionRatio2}#% {nl}Duration: 40 seconds
SKILL_20150317_001294	Бомба Замедленного Действия Стрелка
SKILL_20150317_001295	{#DD5500}{ol}[Physical] [Strike]{/}{/}{nl}Hang a bomb on an arrow and shoot it at an enemy.
SKILL_20150317_001296	Attack: #{SkillAtkAdd}#{nl}Bomb Duration: 5 seconds
SKILL_20150317_001297	Отказов Выстрел
SKILL_20150317_001298	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Shoot an arrow that bounces off the target to hit nearby enemies.
SKILL_20150317_001299	Стрелка Посыпать
SKILL_20150317_001300	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Jump backwards while shooting multiple arrows forward.
SKILL_20150317_001301	Attack #{SkillAtkAdd}#{nl}Attack 5 times
SKILL_20150317_001302	Спирали Стрелка
SKILL_20150317_001303	Баффы вашей следующей атаки, чтобы сделать дополнительный удар.
SKILL_20150317_001304	Continuous Attacks: #{CaptionRatio}#{nl}Duration: 10 seconds
SKILL_20150317_001305	Развернуть Pavise
SKILL_20150317_001306	Установить Pavise на земле, чтобы защититься от снарядов.
SKILL_20150317_001307	Defend range projectile #{SkillFactor}# times{nl}Pavise duration #{CaptionTime}# seconds
SKILL_20150317_001308	Разброс Чилимсы
SKILL_20150317_001309	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}Throw caltrops on the ground to damage and slow down enemies that step on them.
SKILL_20150317_001310	Attack #{SkillAtkAdd}#{nl}Throw #{CaptionRatio2}#{nl}Caltrop duration 20 seconds{nl}{#339999}{ol}[Slow]{/}{/} Duration 10 seconds
SKILL_20150317_001311	Камень Комплектации
SKILL_20150317_001312	Подобрать камень снарядов нашли на поле. Нельзя получить в городе.
SKILL_20150317_001313	Obtainable Stone Bullets: #{SkillFactor}#
SKILL_20150317_001314	Стоун Снимал
SKILL_20150317_001315	{#DD5500}{ol}[Physical] [Strike]{/}{/}{nl}Fire stone bullet and push away enemy. The target has a chance to be stunned.
SKILL_20150317_001316	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Stun]{/}{/} Duration #{CaptionRatio2}# seconds{nl}Use 1 stone bullet
SKILL_20150317_001317	Беглый Огонь
SKILL_20150317_001318	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl} Load multiple arrows into your crossbow and then quickly shoot them at the enemy.
SKILL_20150317_001319	Attack: #{SkillAtkAdd}#{nl}Maximum Loading Time: #{CaptionTime}# seconds
SKILL_20150317_001320	Веник Ловушка
SKILL_20150317_001321	{#DD5500}{ol}[Physical] [Strike]{/}{/}{nl}Set a Ловушка that damages nearby enemies.
SKILL_20150317_001322	Attack: #{SkillAtkAdd}#{nl}Duration: 15 seconds
SKILL_20150317_001323	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Set a trap that fires buckshot and damages enemy.
SKILL_20150317_001324	Attack: #{SkillAtkAdd}#{nl}Splash: #{CaptionRatio}#
SKILL_20150317_001325	Punji Кола
SKILL_20150317_001326	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Set trap that blows away enemies when stepping on it.
SKILL_20150317_001327	Attack: #{SkillAtkAdd}#{nl}Casting Time: 3 seconds
SKILL_20150317_001328	Взорвать Ловушки
SKILL_20150317_001329	{#DD5500}{ol}[Physical] [Strike]{/}{/}{nl}Detonate nearby traps and magic circles to damage enemies.
SKILL_20150317_001330	Attack: #{SkillAtkAdd}#{nl}Bomb Explosion Count: #{CaptionRatio}#
SKILL_20150317_001331	По курсингу
SKILL_20150317_001332	Товарищ кусает и держит на мишени. Бонус-шанс критического применения на целевых.
SKILL_20150317_001333	Additional Critical Chance: 30% {nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001334	Получить
SKILL_20150317_001335	Товарищ кусает цель и приносит его в плеер.
SKILL_20150317_001336	Drive in enemies with less HP less than #{CaptionRatio}#%{nl} Duration 4 seconds
SKILL_20150317_001337	Вырвав
SKILL_20150317_001338	Ваш компаньон укусов летающих-типа врагов и тащит их к земле.
SKILL_20150317_001339	Praise
SKILL_20150317_001340	Временно увеличивает скорость передвижения и скорость атаки компаньона.
SKILL_20150317_001341	Companion Movement Speed: +#{CaptionRatio}#%{nl}Duration: 60 seconds
SKILL_20150317_001342	Указывая
SKILL_20150317_001343	Ваш компаньон насмешки и привлекает внимание целевой. Уменьшает уклонение цели.
SKILL_20150317_001344	Evasion: -#{CaptionRatio}#{nl}Duration: 10 seconds
SKILL_20150317_001345	Травля
SKILL_20150317_001346	Ваш Спутник находит скрытые ближайших врагов.
SKILL_20150317_001347	Детоксикации
SKILL_20150317_001348	Снимает яд с цели. Не может излечивать яды, которые выше уровнем, чем детоксикации, вместо уменьшением их длительности.
SKILL_20150317_001349	Duration: -#{CaptionRatio}# seconds{nl}Consumes #{SpendPoison}# Poison Pot Poison
SKILL_20150317_001350	Удар Иглы
SKILL_20150317_001351	{#DD5500}{ol}[Physical] - [Poison] - [Pierce]{/}{/}{nl}Shoot toxic arrow that poisons the enemy to inflict damage over time.
SKILL_20150317_001352	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Poison]{/}{/} Duration 30 seconds{nl}Use #{SpendPoison}# Poison pot
SKILL_20150317_001353	Приворожить
SKILL_20150317_001354	Наносит путаницы на отравленный враг.
SKILL_20150317_001355	{#339999}{ol}[Путаница]{/}{/}{nl} Duration: 10 seconds {nl}Consumes  #{SpendPoison}# Poison Pot Poison
SKILL_20150317_001356	Старый ГУ
SKILL_20150317_001357	{#DD5500}{ol}[Physical] - [Poison] - [Pierce]{/}{/}{nl}Shoot contagious poison arrow. Target spreads poison around to nearby enemies whenever it is hit with magic.
SKILL_20150317_001358	Attack #{SkillAtkAdd}#{nl}{#339999}{ol}[Poison]{/}{/} Duration 10 seconds{nl}Use #{SpendPoison}# Poison pot
SKILL_20150317_001359	Бросить ГУ Горшок
SKILL_20150317_001360	{#DD5500}{ol}[Physical] - [Poison] - [Pierce]{/}{/}{nl}Throw Poison jar and create a poison puddle.
SKILL_20150317_001361	Attack #{SkillAtkAdd}#{nl}Duration 10 seconds{nl}Use #{SpendPoison}# Poison pot
SKILL_20150317_001362	Jincan ГУ
SKILL_20150317_001363	{#DD5500}{ol}[Physical] - [Poison] - [Pierce]{/}{/}{nl}Shoot an arrow containing parasites at the enemy.
SKILL_20150317_001364	Attack #{SkillAtkAdd}#{nl}Use #{SpendPoison}# Poison pot
SKILL_20150317_001365	Камуфляж
SKILL_20150317_001366	Спрячься в яблоко баррель избегать внимания врагов. Ствол обеспечивает защиту от нескольких атак.
SKILL_20150317_001367	Number of Blocks: #{CaptionRatio}#{nl}Movement Speed: -#{CaptionRatio}#
SKILL_20150317_001368	Грипп Грипп
SKILL_20150317_001369	Стрелять скандалисткой стрелу во врага. Также влияют на врагов поблизости.
