QUEST_LV_0100_20150317_000001	Страж
QUEST_LV_0100_20150317_000788	Я делаю Святую бомбу, чтобы атаковать демонов.{nl}я могу завершить его, если я получить очищенную сущность. Можете ли вы помочь мне??
QUEST_LV_0100_20150317_000789	Бомбы в церкви звучит не очень хорошо, но..{nl}я думаю, что богиня простит меня на этот раз.
QUEST_LV_0100_20150317_000790	Я хочу, чтобы проверить его на Glizardon.{nl}я дам тебе Святой бомбы. Вы можете поставить его на Glizardon вернулся??
QUEST_LV_0100_20150317_000791	Если вы думаете, что это будет опасно, я также даст вам в распоряжении его святой водой.{nl}когда вы пьете эту воду, вы будете невидимыми для демонов на короткое время.
QUEST_LV_0100_20150317_000792	Убегать после установки бомбы на спине Glizardon.{nl}посмотрите на ее размер. Это не будет быстро.
QUEST_LV_0100_20150317_000793	У меня только один пустой Святой камень.{nl}Можете ли вы помочь мне заполнить этот камень, пожалуйста.?
QUEST_LV_0100_20150317_000794	Мы можем вытерпеть, если бы эти камни могут быть заполнены без наших братьев помочь.
QUEST_LV_0100_20150317_000795	Это стратегия, чтобы напасть на босса первого, когда есть многократные враги.{nl}на этот раз, это будет Glizardon.
QUEST_LV_0100_20150317_000796	Я никогда бы не подумал, что вы лишили бы их так быстро.{nl}спасибо за помощь.
QUEST_LV_0100_20150317_000797	Последователь Донатас
QUEST_LV_0100_20150317_000798	Спасибо. {nl}этого достаточно, чтобы сделать свиток трансформации.
QUEST_LV_0100_20150317_000799	Вы можете превращаться в демона, используя этот свиток. {nl}уговорить демонов идти к алтарю самостоятельно.
QUEST_LV_0100_20150317_000800	Я попадаюсь каждый раз, может быть, демоны знают мой запах. {nl}я уверен, что это будет проще для вас, поскольку Вы не были вокруг в течение долгого.
QUEST_LV_0100_20150317_000801	Ладно. {nl}я думаю, что должно быть достаточно для вас, чтобы понять их природу.
QUEST_LV_0100_20150317_000802	Сила алтаря делает преобразование простым. {nl}во-первых, вы активируете силу Globejas алтарь. {nl}затем, остаться в пределах влияния алтарь и бороться с демонами.
QUEST_LV_0100_20150317_000803	Демоны умы сильнее, чем вы думаете. {nl}это займет немало усилий, чтобы заставить их забыть о Gesti.
QUEST_LV_0100_20150317_000804	Не доверяю вода эффектов слишком много, или Glizardon может узнать об этом.
QUEST_LV_0100_20150317_000805	Я имею в виду эффективный способ Победить демонов.{nl}вы пришли как раз в нужное время.
QUEST_LV_0100_20150317_000806	Когда Вы размещаете Святой камень, он будет поглощать жизнь из ближайших демонов автоматически.{nl}победить демонов, которые уже имели их жизнь поглощена.
QUEST_LV_0100_20150317_000807	Вы можете получить порочный эссенции от демонов.{nl}Вы можете очистить эти эссенции на алтарь очищения, который отсюда вниз.
QUEST_LV_0100_20150317_000808	Ох, они узнают, если Вы не достаточно уверенно. {nl}поэтому лучше бороться с демонами, чтобы получить некоторую уверенность перед использованием свитка.
QUEST_LV_0100_20150317_000809	Epigraphist Рэймонд
QUEST_LV_0100_20150317_000810	Это не единственный памятник.{nl}есть прекрасный памятник на площади Irody.
QUEST_LV_0100_20150317_000811	I wonder who mourned that traitor? Don't you think there would be a different reason?
QUEST_LV_0100_20150317_000812	Удивительно, но эта выглядит хорошо.{nl}мы должны быть готовы, чтобы восстановить его.
QUEST_LV_0100_20150317_000813	Его памятник находится в обсаженных со страшной магии, потому что он был предателем.{nl}мы должны использовать эту магию.
QUEST_LV_0100_20150317_000814	Если мы получили поддержку, то мы бы наняли наемников.{nl}, обучающихся о предателе не значит, что мы славить предателя, так что я не понимаю, почему{nl}мы потеряли поддержку.
QUEST_LV_0100_20150317_000815	Спасибо.{nl}в achat должны были обращено на магическую силу брошено на памятник.
QUEST_LV_0100_20150317_000816	Это отчасти любопытно, что нечто, похожее на пень были бы заинтересованы в {nl}каменными плитами.
QUEST_LV_0100_20150317_000817	Я сожалею, но мы не можем найти тот, что нам нужен среди осколков ты привел.{nl}я надеюсь, что это не было уже съедено.
QUEST_LV_0100_20150317_000818	If we burn the Tree Ambulo, do you think we can find the stone pieces that they swallowed?{nl}I stacked four piles of firewood over there, light them up and push the Tree Ambulo in {nl}when the wood is burning.
QUEST_LV_0100_20150317_000819	Будьте осторожны.{nl}это будет опасно, если горящее дерево Ambulo бежит в лагерь.
QUEST_LV_0100_20150317_000820	Охотник За Сокровищами Эдем
QUEST_LV_0100_20150317_000821	Я кладоискатель, не монстр Хантер.{nl}я не хочу, чтобы это место станет моей могилой, пройдя с боями с монстрами.
QUEST_LV_0100_20150317_000822	Я собрал все фрагменты Раймонд просил. {nl}вернуть их к Рэймонду.
QUEST_LV_0100_20150317_000823	Eden told you to give this to me?{nl}Hmm. It will take some time to restore it.{nl}
QUEST_LV_0100_20150317_000824	Can you take these restored gravestone fragments to my assistant at Irody Square?{nl}I think something good will happen when we finish restoring it.
QUEST_LV_0100_20150317_000825	Epigraphist Шмид
QUEST_LV_0100_20150317_000826	Этот... наш мастер сделал это!{nl}отдай его мне, пожалуйста.
QUEST_LV_0100_20150317_000827	Пока нет. Немного больше.{nl}я думаю, что просто необходимо сделать немного больше.
QUEST_LV_0100_20150317_000828	Некромант Драсиус
QUEST_LV_0100_20150317_000829	Пожалуйста, поставьте жертвы в jar на Dumbliu пруд.{nl}приглашенное дух придет ко мне, если вам это удастся.
QUEST_LV_0100_20150317_000830	Это зависит от того, как человек использует некромантию.{nl}она может быть хорошей или плохой в зависимости от того, что Некромант имеет в своем уме.
QUEST_LV_0100_20150317_000831	The Эксперимент failed? I am so sorry.{nl}I should research more here to find out what went wrong.
QUEST_LV_0100_20150317_000832	Памятник Лидии Schaffen
QUEST_LV_0100_20150317_000833	Меня зовут Лидия Schaffen.{nl}по причинам, которые я вынес эту глубокую бремя печали, я теперь буду говорить правду {nl}О Ruklys на этой земле.
QUEST_LV_0100_20150317_000834	Нет больше угля, кроме того, что у вас есть, так что не использовать его слишком свободно.
QUEST_LV_0100_20150317_000835	Я не знал, что она училась с Ruklys, предатель.{nl}стрелять. Я уже почти израсходовала весь уголь.
QUEST_LV_0100_20150317_000836	В конце концов, Ruklys не удалось.{nl}он был разрушен теми, кто завидовали ему.{nl}он бросил богине, моей руки.
QUEST_LV_0100_20150317_000837	What was Lydia Schaffen's relationship with Ruklys?{nl}I am not astute enough to understand.
QUEST_LV_0100_20150317_000838	Я оставляю Ruklys на этой земле с моей сожалений и слез.{nl}если кто-то хочет продолжить его волю, я хочу оставить мой секрет на это надгробие.{nl}я подытожу длинная писанина здесь.
QUEST_LV_0100_20150317_000839	Стадии, что Ruklys достигла была поразительной.{nl}но, его благородная миссия была слишком сложной, чтобы быть выполнена на этой земле.
QUEST_LV_0100_20150317_000840	Так как я на долгое путешествие, мой багаж не тяжелый.{nl}лучше купить что-нибудь из местных магазинов.
QUEST_LV_0100_20150317_000841	Любой лучник хотел бы иметь хорошие наконечники для стрел.{nl}я покажу вам, как найти хорошие наконечники для стрел, так как о вас мне помочь немного??
QUEST_LV_0100_20150317_000842	Они не очень быстрые, так что это не должно быть трудно для вас, чтобы сделать.{nl}я в этом уверен.
QUEST_LV_0100_20150317_000843	Спасибо. Эти еще горячие на ощупь.{nl}разве они не миленькие??
QUEST_LV_0100_20150317_000844	Блуждающий Дух
QUEST_LV_0100_20150317_000845	Наш взвод получил приказ позаботиться Единорога.{nl}подробности должны быть в эксплуатации приказы...
QUEST_LV_0100_20150317_000846	Порядок Работы
QUEST_LV_0100_20150317_000847	Как приманить Единорога.{nl}1. Zolem собирать камни из Zolems{nl}2. Набор камней вокруг Neryshkus святилище руины.
QUEST_LV_0100_20150317_000848	Охранник Прыгуна
QUEST_LV_0100_20150317_000849	This operation had failed several years ago.{nl}Where did you get this anyway?{nl}
QUEST_LV_0100_20150317_000850	Я понимаю. Пожалуйста, возьмите рога Единорога с той девушкой там.{nl}ее брат пропал без вести после этой трагедии.
QUEST_LV_0100_20150317_000851	Девушка
QUEST_LV_0100_20150317_000852	Я сказал ему не ходить...
QUEST_LV_0100_20150317_000853	Это было действительно ужасно.{nl}мне повезло так как я почти был послан.
QUEST_LV_0100_20150317_000854	Если у вас есть проблемы надев их на дровах, то просто пнуть его в жесткий.
QUEST_LV_0100_20150317_000855	Мне нужно пламя Infroburk на алтарь Shiluma сайта.{nl}подобраться к задней части, что монстр и тепла эти наконечники стрел.
QUEST_LV_0100_20150317_000856	Я пытался получить что-то для себя, пока у меня была эта подписал контракт с Раймондом.{nl}но, сейчас я не испытываю ничего, кроме каменных обломков.
QUEST_LV_0100_20150317_000857	Это будет ясно тебе, что на Ruklys' Мемориал после того, как ты восстановил его.
QUEST_LV_0100_20150317_000858	Здорово. {nl}пожалуйста, оставьте активации алтаря ко мне и встретиться на Вайдаса Himnas часовня.
QUEST_LV_0100_20150317_000859	Даже если человек находится в опасности, если он знает, что кто-то придет, чтобы помочь ему, он будет {nl}дополнительную энергию, чтобы терпеть дольше.
QUEST_LV_0100_20150317_000860	Хорошо. Этого будет достаточно.
QUEST_LV_0100_20150317_000861	Она чувствует себя так хорошо, чтобы увидеть их полет.{nl}но, они слишком шумные, поэтому мне нужно больше учиться.
QUEST_LV_0100_20150317_000862	Я никогда не видел камня, наполненные столько святости.{nl}Спасибо огромное, что дали его так много усилий.
QUEST_LV_0100_20150317_000863	Демоны атаки сильнее, чем мы ожидали.{nl}если мы способны победить Glizardon, тогда будет легче победить их.
QUEST_LV_0100_20150317_000864	Последователь Vaidutis
QUEST_LV_0100_20150317_000865	Я пришел сказать, что Gesti поднялись на 2 этаж, и я расслабился. {nl}я был бы в большой беде, если бы не ты.
QUEST_LV_0100_20150317_000866	Я изучал барьер у ворот, но сила подвале алтарь недостаточно. {nl}не могли бы вы снабдить меня сила кристаллов из лещины обыкновенной (corylus??
QUEST_LV_0100_20150317_000867	Может быть, богиня знала, что это провал, и вот почему она сказала ждать откровений. {nl}, по крайней мере, мы больно Gesti некоторые, так что это хорошо.
QUEST_LV_0100_20150317_000868	Молодцы. {nl} сделав свет кристалла этого будет достаточно силы, чтобы сломать барьер.
QUEST_LV_0100_20150317_000869	Подготовить себя, прежде чем нести свет кристалла к воротам. {nl}это может привлечь мощные монстры.
QUEST_LV_0100_20150317_000870	Я думаю, что я останусь здесь, чтобы остановить демонов от проникновения в подвал.
QUEST_LV_0100_20150317_000871	Это честь сражаться с вами, Богослов. {nl} не могли бы вы загнать демонов из этой области в то время как последователь Альгис расследует??
QUEST_LV_0100_20150317_000872	If you don't mind, can you get Eyes of Madness from Rodelins?{nl}They are handy when you want to hide yourself from demons.
QUEST_LV_0100_20150317_000873	Я не хочу этих грязных вещей, чтобы быть рядом со мной либо.{nl}но, это хуже для лица против этих демонов в одиночку.
QUEST_LV_0100_20150317_000874	Спасибо.{nl}я буду делиться ими с другими братьями, прежде чем демоны выяснить.
QUEST_LV_0100_20150317_000875	Вы действительно Богослов.{nl}теперь мы можем сосредоточиться на защите алтаря.
QUEST_LV_0100_20150317_000876	Не волнуйтесь, барьер у главного входа на 1-ый этаж может быть компенсировано церкви {nl}мощности. Вот что алтари для. {nl}
QUEST_LV_0100_20150317_000877	Давайте заботиться о Unknocker первой. {nl}я заманим Unknocker, давая Вам возможность атаковать его.
QUEST_LV_0100_20150317_000878	Я хочу просить вас, чтобы победить Pawndel и Pawnd.{nl}они демона сестры и они дают нам головные боли.
QUEST_LV_0100_20150317_000879	Будьте осторожны, я чуть не напали, а.{nl}они действительно жестокие.
QUEST_LV_0100_20150317_000880	Хорошая работа. {nl}их журчащий смех, кажется, остановилось.
QUEST_LV_0100_20150317_000881	Я имею в виду путаницы при charading как демон.{nl}не могли бы вы собрать какую-нибудь тряпочку из Pawndel и Pawnd после победы над ними??
QUEST_LV_0100_20150317_000882	Это немного кощунственно, но у нас нет особого выбора.
QUEST_LV_0100_20150317_000883	Молодцы. {nl}это, вероятно, будет трудно для них, чтобы доверять друг другу отныне. {nl}
QUEST_LV_0100_20150317_000884	Я подумываю о преобразовании демонов, используя силу алтаря. {nl}преобразованный демонов поглотит Божественной силы и медленно начала умирать. {nl}
QUEST_LV_0100_20150317_000885	Но перед этим, для нас важно понимать демонов. {nl}собрать какой-то демон души для меня.
QUEST_LV_0100_20150317_000886	Я помню первый раз, когда я обратился демонов. {nl}я молюсь за их бедные души.
QUEST_LV_0100_20150317_000887	Хорошая работа. {nl}если есть какие-то хорошие демоны слева, богиня присмотрит за ними.
QUEST_LV_0100_20150317_000888	Центральный алтарь, который подавляет силы демонов внезапно остановился. {nl}не могли бы вы посмотреть в чем дело??
QUEST_LV_0100_20150317_000889	Странно, она определенно работала.
QUEST_LV_0100_20150317_000890	Это была засада. {nl}мы бы оказались в большой беде, без вашей помощи.
QUEST_LV_0100_20150317_000891	Вам нужна печать из пространства для того, чтобы войти в скрытое святилище. {nl}он спрятан в Sventove Центрального алтаря, но я просто надеюсь, что это не слишком поздно.
QUEST_LV_0100_20150317_000892	Многие структуры в Тенета Церкви помещаются подопечного против демонов. {nl}каждый сам по себе небольшой барьер, что способствует огромный барьер. {nl}
QUEST_LV_0100_20150317_000893	Самый мощный барьер на 2 этаже. {nl}я слышал, что она может приложить наибольшую силу, когда Божественная сферы есть.
QUEST_LV_0100_20150317_000894	Gesti сделал первый ход. {nl}будет трудно подойти к ней тайно.
QUEST_LV_0100_20150317_000895	Мы должны изменить наш план. {nl}во-первых, мы поедем наблюдать Gesti действия. {nl}
QUEST_LV_0100_20150317_000896	Давайте начнем с того, пересдача колокольни.
QUEST_LV_0100_20150317_000897	Отсюда, мы можем увидеть, что Gesti до.
QUEST_LV_0100_20150317_000898	Ладно, вернуть уплотнения пространства от Sventove Центрального алтаря. {nl}Можете ли вы сделать это??
QUEST_LV_0100_20150317_000899	Вы должны понимать, что откровение скрыто в святилище. {nl}печать пространство-это единый ключ, который поможет вам в святилище. {nl}
QUEST_LV_0100_20150317_000900	Не только может печать пространстве доставить тебя в святилище в Тенета Церкви, {nl}это позволит вам ввести в любом месте, где богиня отвращают прежде.
QUEST_LV_0100_20150317_000901	Уплотнение пространства могут быть использованы только Богослов, поэтому она не сможет найти откровение {nl}сразу. {nl}
QUEST_LV_0100_20150317_000902	Но враг демона Королевой. Даже Паладин мастер не смог победить ее.{nl}мы должны использовать полномочия разрушенный алтарь.
QUEST_LV_0100_20150317_000903	Мы ничего не можем поделать, разрушенного алтаря, но осколки все еще есть сила. {nl}собирать осколки и вставлять их в 8 столпов Sventove Центрального зала.
QUEST_LV_0100_20150317_000904	Когда вы закончите, я смогу ограничить Gesti через силу Божественную сферу и {nl}церкви. Это может быть на короткое время, но это лучший вариант для нас.
QUEST_LV_0100_20150317_000905	So you activated the Malda Altar? {nl}Now it will be safe to stay here for the time being. Good work.
QUEST_LV_0100_20150317_000906	Демоны собираются вокруг второго этажа обыскивать все углы. {nl}активации Auka алтарь будет отвлекать их внимание.
QUEST_LV_0100_20150317_000907	Я рад, что ты рядом со мной. {nl}я думаю, это была хорошая вещь, что Лайма выбрала тебя.
QUEST_LV_0100_20150317_000908	Спасибо Вам за ваше трудолюбие. {nl}, когда это закончится, я планирую собрать всех братьев и гнать их подальше сразу.
QUEST_LV_0100_20150317_000909	Я позвоню в колокольчик, чтобы знать, когда Gesti приближается к вам, поэтому, пожалуйста, слушайте его.
QUEST_LV_0100_20150317_000910	Итак, вы обнаружили уплотнение пространства. {nl}использовать герб на столбе рядом со мной, чтобы пойти в святилище. {nl}он готов для откровений только.
QUEST_LV_0100_20150317_000911	Пусть благословение богини быть с тобой.
QUEST_LV_0100_20150317_000912	Так Gesti просто убежал. {nl}штраф. Так как вы получили откровение, мы уже выполнили задание. {nl}
QUEST_LV_0100_20150317_000913	Итак, вы находитесь в поисках богини Сауле...{nl}радужной долине, о котором говорится в Откровении {nl}должно начинаться на травянистых Бруксайде расположенном к северу отсюда.{nl}я прощай. Я буду молиться за богинь' благословения быть на вашем пути.
QUEST_LV_0100_20150317_000914	Когда вы найдете откровения, скажи Паладину Мастер рассказа вы прошли так далеко. {nl}пусть благословение богини быть с тобой.
QUEST_LV_0100_20150317_000915	Похоже, Gesti не заметили еще. {nl}мы лучше подготовить Божественную сферу.
QUEST_LV_0100_20150317_000916	Все приготовления были сделаны. {nl} барьеров церкви в скором времени ослабить Gesti. {nl}
QUEST_LV_0100_20150317_000917	Gesti будет достаточно для вас, чтобы справиться, как только она ослабла. {nl}Gesti, когда загнан в угол, я сделаю финальный удар с Божественной сферой.
QUEST_LV_0100_20150317_000918	Эти куски барьера на Малой местом отдыха. {nl}не беспокойтесь. Есть способы, чтобы восстановить барьер, так что я уверена, что Все будет хорошо.
QUEST_LV_0100_20150317_000919	Я не знал, что демоны будут использовать магические круги для призыва прийти через. {nl} предлагаю снять их всех прежде, чем они нас осады.
QUEST_LV_0100_20150317_000920	Даже с таким количеством демонов, вы все-таки сумел сделать это через. {nl}может быть Богослов, но это все равно впечатляет. {nl}
QUEST_LV_0100_20150317_000921	Это откровение. {nl}дорожите ею и не показывай ее больше никому. {nl}
QUEST_LV_0100_20150317_000922	Давай. Идите к Паладину Мастер. {nl}он покажет вам путь вы должны пойти.
QUEST_LV_0100_20150317_000923	Я спросил моего дорогого друга Альгис пойти в Тенета Церкви. {nl}я не потеряю в Gesti, но важно иметь запасной план на всякий случай.
QUEST_LV_0100_20150317_000924	Эта Божественная Сфера была оружие, используемое против Gesti на Изумрудном утесе.{nl}она передавалась с первого паладина.{nl}
QUEST_LV_0100_20150317_000925	В королевстве есть несколько ценных оружие в сторону от этой Божественной сфере. {nl}это оружие спасло много жизней на Medzio Диена четыре года назад.
QUEST_LV_0100_20150317_000926	Начиная с Сейчас, я сосредоточусь на Божественную сферу.{nl}в то же время, пожалуйста, используйте ваши навыки, чтобы ничто не могло потревожить меня.
QUEST_LV_0100_20150317_000927	К сожалению. Мои способности не были достаточно хороши. {nl}Gesti теперь поняла, что святыня-это не откровение, и, вероятно, направляясь {nl}прямо в церкви. {nl}
QUEST_LV_0100_20150317_000928	Но это старое тело мое не следовать моему будет больше. {nl}теперь я могу доверять только мой старый друг Альгис и вы. {nl}
QUEST_LV_0100_20150317_000929	Иди. В Тенета Церкви на поваленное дерево сад.{nl}стоп Gesti получить откровение любой ценой.
QUEST_LV_0100_20150317_000930	Это слишком много для меня, чтобы справиться в одиночку без всякой помощи со стороны других братьев. {nl}мне лучше использовать Malda алтарь. {nl}
QUEST_LV_0100_20150317_000931	Поблизости демоны будут заклеймены когда Malda алтарь активируется.{nl}победить демонов, как только они фирменные.
QUEST_LV_0100_20150317_000932	У нас еще есть много, чтобы сделать здесь.{nl}богиня велела нам никогда не сдаваться.
QUEST_LV_0100_20150317_000933	Мир по-прежнему нуждается больше опыта. {nl}мы, вероятно, не сделали это настолько далеко без помощи богини.
QUEST_LV_0100_20150317_000934	Активация дерева сторожевой пост барьера занимает больше времени, чем я думал. {nl}у нас нет времени, давайте заряжать его с демоном вместо души.
QUEST_LV_0100_20150317_000935	Все души чисты. Так что даже если это демон душу, он все еще может принести определенную Божественную силу.
QUEST_LV_0100_20150317_000936	Так дерево сторожевой пост барьер был обвинен демон души, да. {nl}, еще немного и последние штрихи для завершения, но я буду заботиться о нем отсюда. {nl}Отличная работа.
QUEST_LV_0100_20150317_000937	Это удивительно, вы можете использовать барьер такой. {nl}даже паладины не знали об этом. {nl}
QUEST_LV_0100_20150317_000938	Я исчерпываюсь. Я бы хотел немного отдохнуть.{nl}не могли бы вы позаботиться демонов поблизости, чтобы дать мне немного времени, чтобы восстановиться??
QUEST_LV_0100_20150317_000939	Удерживая против многих врагов, что само по себе великий подвиг. {nl}это все благодаря Мастер Паладин.
QUEST_LV_0100_20150317_000940	Хотя он еще молод, Кеннет удивительно. {nl}я думаю, мы можем доверять ему немного больше.
QUEST_LV_0100_20150317_000941	Я получил срочное сообщение от дозорных.{nl}гигантский демон монстр идет сюда.{nl}быстро, следуйте за мной.{nl}
QUEST_LV_0100_20150317_000942	Biteregina, который жил в глухом лесу, появился здесь.{nl}он даже построил улей на верхней стороне Rojus плато. Поскольку это опасно, можно его победить??
QUEST_LV_0100_20150317_000943	Спасибо so much!{nl}How did it come from such a far forest?{nl}Strange, huh?
QUEST_LV_0100_20150317_000944	Я ничего не могу сделать с Seedmias атакуют нас со всех сторон.{nl}Можете ли вы победить их??
QUEST_LV_0100_20150317_000945	Я очень надеюсь, что те Seedmias не бейте меня по голове с тех бутонов. {nl}они выглядят ужасно.
QUEST_LV_0100_20150317_000946	I received a mysterious charm from the elders that will brainwash Pantos to stand on our side.{nl}Are you up for a challenge?{nl}
QUEST_LV_0100_20150317_000947	По словам старейшины, мы сделали с тех Pantos.{nl}мы не можем продолжать отношения больше.
QUEST_LV_0100_20150317_000948	Этот барьер невозможно открыть снаружи. {nl}к счастью, вход в подвал выглядит надежности. {nl}
QUEST_LV_0100_20150317_000949	Впрочем, Это слишком опасно, чтобы войти в подвал с Божественной сферой. {nl}я буду ждать здесь, так что вы идете на 1 этаж через подвал и открывают шлагбаум. {nl}
QUEST_LV_0100_20150317_000950	Вы сделали то, что никто больше не мог легко сделать.{nl}богиня должна гордиться вами.
QUEST_LV_0100_20150317_000951	Я хотел бы сказать, что моя вера, как первоклассный клинок, который разрезал эти демоны, {nl}но в реальности это не так просто. Я надеюсь, что вы поможете нам.
QUEST_LV_0100_20150317_000952	Они должны быть побеждены на зрение.{nl}как мы должны защищать церковь иначе??
QUEST_LV_0100_20150317_000953	Победить демонов вокруг дерева сторожевой пост барьер. {nl}души тех демонов должны быть в состоянии заполнить его божественные силы немного. Я рассчитываю на тебя!
QUEST_LV_0100_20150317_000954	Очень хорошо. Цветы в полях должны действовать, как цветы в полях.{nl}вы так не думаете??
QUEST_LV_0100_20150317_000955	Мы-народ, следующего за паладина Мастер.{nl}мы победим тех, кто не подчиняется богине.{nl}
QUEST_LV_0100_20150317_000956	У каждого есть свои причины следовать за ним.{nl}некоторые из них получали пособие от него и некоторые из них уже были паладины, как Альгис.
QUEST_LV_0100_20150317_000957	Может быть, богиня знала, что это произойдет и вот почему она ждала Спасителя.{nl}я чувствую, что я положил большую нагрузку на ваши плечи.{nl}
QUEST_LV_0100_20150317_000958	Ускорю ваше стремление Gesti.{nl}Тенета Церкви в упавшее дерево сад.
QUEST_LV_0100_20150317_000959	Это план, который передавался на протяжении сотен лет со времен первого паладина.{nl}мы не можем потерпеть неудачу в этом плане.
QUEST_LV_0100_20150317_000960	Пожалуйста, подходят куски вместе в Ruklys' Мемориал передо мной, пока я готовлю срисовывать.{nl}с вами, работая с нами, это должно быть легко. {nl}
QUEST_LV_0100_20150317_000961	Я буду следовать за вами в ближайшее время. Всего мгновение.
QUEST_LV_0100_20150317_000962	После того как мы заканчиваем срисовывать, то можете Попрощаться с этим местом.{nl}Можете ли вы помочь мне немного больше??
QUEST_LV_0100_20150317_000963	Столица может уже быть в руинах, но я буду защищать Клайпеде.
QUEST_LV_0100_20150317_000964	Чтобы разместить всех сил в сторону сокрушительный удар по любому врагу, который угрожал{nl}царство. Вот как горцев сражаться в бою. {nl}
QUEST_LV_0100_20150317_000965	Хорошая работа. {nl}честно говоря, у меня были сомнения, но результаты, кажется, в порядке. {nl}Вам просто нужно сказать это так, чтобы Kayetonas в флауэр Хилл.
QUEST_LV_0100_20150317_000966	Похоже, даже Auka алтарь потерял свои полномочия. {nl}там были истории про своих полномочий уничтожая десятки демонов в прошлом.
QUEST_LV_0100_20150317_000967	Трудно смотреть Egnomes бегают по Atgaila часовня.{nl}пожалуйста, очистить Egnomes.
QUEST_LV_0100_20150317_000968	Многие Паладин сокровища тоже здесь. Не дайте им попасть в руки демонов.
QUEST_LV_0100_20150317_000969	После использования очарование на Pantos, ударил их несколько раз.{nl}попробовать, что на Pantos в Леванда обитания.
QUEST_LV_0100_20150317_000970	Isn't this city amazing? I want to stay here if I can.{nl}But, I prefer going to other places with my horse.
QUEST_LV_0100_20150317_000971	Пространство движения магический круг доставят вас в ваш предпочтительный пол в башне.{nl}я не знаю, если мы можем использовать поле больше. Давай пойдем и выясним.
QUEST_LV_0100_20150317_000972	Надеюсь монстры не нарушил магический круг еще.
QUEST_LV_0100_20150317_000973	Блин.{nl}они разбили его. Это невозможно исправить.
QUEST_LV_0100_20150317_000974	При активации устройства, который устанавливает барьеры, монстры не сможете прийти в.{nl}на поставку устройства для демонов " власть сломана, но мы можем входной мощности с другими методами.
QUEST_LV_0100_20150317_000975	Я надеюсь, что сумасшедший маг, Антарес, не мешайте нам.
QUEST_LV_0100_20150317_000976	Он устроил ловушку так хорошо.{nl}мне не нравился даже он был в сознании.
QUEST_LV_0100_20150317_000977	Мы должны быть осторожны здесь.{nl}это место, где Антарес, опасный маг, был заключен в тюрьму.{nl}мы должны подняться на следующий этаж быстро.
QUEST_LV_0100_20150317_000978	Он был великим магом раньше.{nl}но, его мировоззрение было слишком опасно.
QUEST_LV_0100_20150317_000979	Боже мой, почему именно сейчас...{nl}
QUEST_LV_0100_20150317_000980	Причина, почему он был заключен в тюрьму здесь был, потому что он сильно хотел концентрированной демоны " власть здесь.{nl}что вы думаете произойдет в башню, когда власть, которая была сосредоточена на протяжении сотен лет взрываются сразу??
QUEST_LV_0100_20150317_000981	Одновременно важно, но башня более опасен.{nl}Антарес может быть чем-то занимается сейчас.
QUEST_LV_0100_20150317_000982	Есть два клапана, что контроль питания устройства.{nl}первый клапан находится в лаборатории номер так что давайте идти и уничтожить его сейчас.
QUEST_LV_0100_20150317_000983	Взрыв, это было слишком опасно.{nl}давайте найдем более безопасный способ уничтожить его.
QUEST_LV_0100_20150317_000984	Антарес сделал исследований на поток демонов' власти в течение длительного времени.{nl}, если его исследовательские материалы по-прежнему присутствуют, они помогут нам уничтожить этих клапанов.{nl}они должны быть где-то здесь..
QUEST_LV_0100_20150317_000985	Материалы исследования должны быть где-то здесь...
QUEST_LV_0100_20150317_000986	Вот оно. Теперь я, кажется, знаю, как разорвать эти клапаны.
QUEST_LV_0100_20150317_000987	Давайте найдем последний клапан на Центральный диспетчерский пункт.{nl}когда мы уничтожим его, мы будем в безопасности независимо от того, что Антарес делает.
QUEST_LV_0100_20150317_000988	Пожалуйста, задайте этот камень и победить монстров вокруг.{nl}мы можем собрать энергию, чтобы зарядить устройство заграждения.
QUEST_LV_0100_20150317_000989	Подходящий конец для сумасшедшего мага.{nl}могло быть опасно без оборонительной магии.{nl}мы, возможно, коснулись его, не зная, первый клапан был разрушен..{nl}
QUEST_LV_0100_20150317_000990	В любом случае, это хорошо.{nl}башня теперь в безопасности, поэтому пойдем вверх.
QUEST_LV_0100_20150317_000991	Ах, это верно. Давайте также подготовить защитной магии в случае, если что-то случится.{nl}там была магия, написанные в Antare материалы, которые мы можем использовать, когда есть взрывы.
QUEST_LV_0100_20150317_000992	Я думаю, что мне удастся что-то сделать если я имел Fallenlem ядер.{nl}я не потерял мое знание магии, я просто не в состоянии использовать его.
QUEST_LV_0100_20150317_000993	Хорошо. Мы можем использовать его еще раз.{nl}
QUEST_LV_0100_20150317_000994	Давайте найдем второй клапан на Центральный диспетчерский пункт.{nl}если мы можем уничтожить его, мы будем в безопасности независимо от того, что Антарес делает.
QUEST_LV_0100_20150317_000995	Жемчужина известность несколько странно.{nl}что-то пошло не так, когда Антарес взорвался некоторое время назад.
QUEST_LV_0100_20150317_000996	Давайте проверим статус пока мы победить монстров с жемчужиной известность.
QUEST_LV_0100_20150317_000997	What is happening to the Jewel of Prominence?{nl}It is very instable.
QUEST_LV_0100_20150317_000998	Did you just see that monster exploding?{nl}It's definitely strange. It seems as if the power of essence is going crazy.
QUEST_LV_0100_20150317_000999	И мне.. у меня кружится голова..
QUEST_LV_0100_20150317_001000	Если мы останемся такой, Жемчужина известность может сломаться.{nl}там должно быть стабилизирующее устройство где-то здесь. Пойдем.
