ITEM_20150317_000001	Пустой шлем 
ITEM_20150317_001362	Кепа Кулон 
ITEM_20150317_001363	Шахтер Ожерелье 
ITEM_20150317_001364	Останки знатного воина обрел нового владельца. 
ITEM_20150317_001365	Conqueror 
ITEM_20150317_001366	Его происхождение восходит к подарок, преподнесенный мудреца, Великого царя Zachariel как символ сервитута в течение периода основания королевства. Позже король выпустил рецепт, и многие были изготовлены в прошлом. Теперь, однако, трудно найти рецепт. 
ITEM_20150317_001367	Petamion 
ITEM_20150317_001368	Некоторые люди говорят, что этот пункт доказывает теорию о том, что демоны были первыми, чтобы найти секретный способ повышения все умений одновременно, а не люди. 
ITEM_20150317_001369	Он
ITEM_20150317_001370	Объединив два элемента, которые обычно не смешиваются, вы можете увеличить силу одного из них. Необходимо, однако, учитывать потери других преимуществ и признаков, вытекающих из этой комбинации. 
ITEM_20150317_001371	Saphie Ожерелье 
ITEM_20150317_001372	Хотя этот пункт не может защитить своего прежнего владельца, он не останется с ними до конца. Надеюсь, это ожерелье преуспевает в том, чтобы обе эти задачи для вас. 
ITEM_20150317_001373	Опекун 
ITEM_20150317_001374	Элемент, содержащий благодать богини Zemyna, кто не одобряет какой-либо спор. Оно наделяет невероятной защиты головы, но на серьезные расходы для владельца наступательная сила. 
ITEM_20150317_001375	Макс Petamion 
ITEM_20150317_001376	Если вы ищете способ улучшить любую способность человека, ответ уже есть. Тем не менее, это не легко понять, что ответа для собственного использования. 
ITEM_20150317_001377	Анимус 
ITEM_20150317_001378	Слухи, что тот, кто носит этот предмет оставит частичку своей души в другой мир. Несмотря на огромное количество людей, которые до сих пор исследования по данному вопросу, механизм этот пункт остается загадкой. 
ITEM_20150317_001379	Пустое Кольцо 
ITEM_20150317_001380	Калиброванная Браслет 
ITEM_20150317_001381	Браслет 
ITEM_20150317_001382	Слота, в котором драгоценный камень был прикреплен по-прежнему отчетливо видны. 
ITEM_20150317_001383	Кожаный Браслет 
ITEM_20150317_001384	Некоторые чудовища кожи, хотя они не содержат каких-либо волшебных атрибутах, можно получить магические эффекты, в зависимости от того, как они произведены. Вы не должны игнорировать этот элемент на основании его материал. 
ITEM_20150317_001385	Светлый Браслет 
ITEM_20150317_001386	Некоторые люди имеют ошибочное мнение, что этот элемент увеличивает мышечную силу, которая является полностью неточной. 
ITEM_20150317_001387	Тяжелый Браслет 
ITEM_20150317_001388	Увеличение вашей психической силы вовсе не из-за усиления ваших способностей но более сильное склеивание с вашим окружением. Это, в свою очередь, будут пополнять вашу энергию. 
ITEM_20150317_001389	Кольцо Браслет 
ITEM_20150317_001390	Точность-это, в сущности, способность оказывать точного контроля над своим телом. Точность Браслет дает такой самоконтроль. 
ITEM_20150317_001391	Благородный Браслет 
ITEM_20150317_001392	Он сказал, что благословения Zemyna, богиня Земли, лежат в пределах этого оборудования. 
ITEM_20150317_001393	Железный Браслет 
ITEM_20150317_001394	Хотя и лишенный каких-либо магическое воздействие, оно, безусловно, увеличить вашу защиту. 
ITEM_20150317_001395	Здоровье Тяжелый Браслет 
ITEM_20150317_001396	Для оборудования, требующего практически никакого волшебного эффекта, Fedimian элементы имеют репутацию имеют долгую историю великим мастерством и качеством. 
ITEM_20150317_001397	Волхвы Тяжелый Браслет 
ITEM_20150317_001398	Arcurus Тяжелый Браслет 
ITEM_20150317_001399	Легкий Тяжелый Браслет 
ITEM_20150317_001400	Свет Железный Браслет 
ITEM_20150317_001401	Большинство считает этот пункт как изношенную и поврежденную версию Железный Браслет. 
ITEM_20150317_001402	Klaipeda Bracelet 
ITEM_20150317_001403	Деревянный Браслет 
ITEM_20150317_001404	Она сделана из облегченного дерева. 
ITEM_20150317_001405	Vubbe Браслет 
ITEM_20150317_001406	Лесной Браслет 
ITEM_20150317_001407	Рокас Браслет 
ITEM_20150317_001408	Рунический Браслет 
ITEM_20150317_001409	Серебряный Браслет 
ITEM_20150317_001410	Кристалл Браслет 
ITEM_20150317_001411	Этот пункт используется, в основном, из кристаллов с кристаллической Шахты. Производство этой вещи стало сложнее, так как шахта переживает много трудностей в последнее время. 
ITEM_20150317_001412	Блеск Браслета 
ITEM_20150317_001413	По словам владельцев этого пункта, чувствуешь, как будто их жизненная сила и жизненные силы бьют через край. 
ITEM_20150317_001414	Битва Браслет 
ITEM_20150317_001415	Этот браслет, к сожалению, используются дополнительные бои между людьми в прошлом, чем в боях с монстрами. 
ITEM_20150317_001416	Яд Браслет 
ITEM_20150317_001417	Этот элемент был изготовлен с различными ядами с момента своего происхождения и, с великим завод катаклизма, материалы стали еще легче найти. 
ITEM_20150317_001418	Растения Браслет 
ITEM_20150317_001419	После быстрого обнаружения слабости растения, Winterspoon семьи открыто делились способов использования этой информации с людьми. 
ITEM_20150317_001420	Управление Браслет 
ITEM_20150317_001421	Когда неорганических веществ мутирует и превращается в монстра, есть способ ослабить их, манипулируя их духов. Данное оборудование содержит механизм, который делает это. 
ITEM_20150317_001422	Охотник Браслет 
ITEM_20150317_001423	Этот браслет был хорошо известен среди охотников за долгое время. С внезапным распространением монстров в последнее время, все больше людей используют его. 
ITEM_20150317_001424	Наруч лучника
ITEM_20150317_001425	Кровожадный инстинкт, содержащиеся в одном из материалов сказано, чтобы повлиять на точность владельцу. 
ITEM_20150317_001426	Мастера Браслет 
ITEM_20150317_001427	Очень старый рецепт, который по времени происхождения не может быть определен. Хотя и редко, он был найден во многих различных местах. 
ITEM_20150317_001428	Быстрое Браслет 
ITEM_20150317_001429	Родом из демонов, кто прошел вниз к Vubbes рецепт, этот рецепт был освобожден по правам воины, кто украл его из Vubbes. 
ITEM_20150317_001430	Стеклянный Браслет 
ITEM_20150317_001431	Ходят слухи, что цена драгоценностей около усилится благодаря растущему числу людей, которые хотят носить это. 
ITEM_20150317_001432	Merregina Браслет 
ITEM_20150317_001433	Некоторые говорят, что они чуют запах моря от этого пункта, но это скорее всего просто психологическая иллюзия. 
ITEM_20150317_001434	Bearkaras Браслет 
ITEM_20150317_001435	Вы можете сказать, где Bearkaras' власть исходит от. 
ITEM_20150317_001436	Начинающих Браслет 
ITEM_20150317_001437	Если это ваш первый раз что-то носить на запястье, это хороший выбор. 
ITEM_20150317_001438	Гладиатор Группа 
ITEM_20150317_001439	Эта группа была придумана в период правления короля Kadumel когда гладиаторские игры пользовались популярностью. С ростом угрозы от монстров, этот рецепт привлекает особое внимание. 
ITEM_20150317_001440	Браслет из Линне 
ITEM_20150317_001441	Он был назван в честь ученого, открывшего способы борьбы с новыми видами, которые пришли после Великого катаклизма завода. 
ITEM_20150317_001442	Пора 
ITEM_20150317_001443	Если вы посмотрите внимательно, 
ITEM_20150317_001444	Созданные первыми людьми, благословенными истоков жизни, когда свет и тьма существовали в равной степени 
ITEM_20150317_001445	вы можете прочитать следующую гравировка: 
ITEM_20150317_001446	Поры 
ITEM_20150317_001447	Zachariel Браслет 
ITEM_20150317_001448	Он сказал, что этот браслет-это сувенир, посвященный великому царю созданных его последователями после его смерти. 
ITEM_20150317_001449	Сиссель Браслет 
ITEM_20150317_001450	Согласно легенде, воин получен этот браслет ценою отказа от его здравомыслия и человечности для чистое безумие, в целях уплотнения от очень сильных демонов. 
ITEM_20150317_001451	Навык 1 Браслет 
ITEM_20150317_001452	Вы можете использовать специальный навык. 
ITEM_20150317_001453	Навык 2 Браслета 
ITEM_20150317_001454	Навык 3 Браслета 
ITEM_20150317_001455	Навык 4 Браслета 
ITEM_20150317_001456	Горец Костюм 
ITEM_20150317_001457	Костюм
ITEM_20150317_001458	Это было сделано с изяществом для королевского дворца и официальных мероприятий пока не стесняет движений ваших конечностей. 
ITEM_20150317_001459	Pelta Костюма 
ITEM_20150317_001460	Peltastas предпочитают причудливый наряд, потому что они больше заботятся об выставляя напоказ свои боевые действия своих союзников, чем опасности засвета врага. 
ITEM_20150317_001461	Гоплит Костюм
ITEM_20150317_001462	Костюм изготовлен для разностороннего нога движения, такие как прыжки и метания копья. Также подходит для мероприятий, требующих формального наряда. 
ITEM_20150317_001463	Центурион Костюм 
ITEM_20150317_001464	Этот костюм наследует традиционный взгляд, который продолжается уже тысячи лет. 
ITEM_20150317_001465	Варвар Костюм 
ITEM_20150317_001466	Хотя Варвары не следовать определенному стилю, это будет ближе всего к своим обычным предпочтениям. 
ITEM_20150317_001467	Cataphract Костюм 
ITEM_20150317_001468	Сделано, чтобы быть подходящими для лошади всадника. Также уменьшает нагрузку на крепление. 
ITEM_20150317_001469	Корсар Костюм 
ITEM_20150317_001470	Этот костюм состоит из нескольких независимых слоев одежды. Он демонстрирует мудрость моряков. 
ITEM_20150317_001471	Дважды Costume Soeldner 
ITEM_20150317_001472	Он выражает их свободный дух сохраняя при этом традиционный вид от Doppelsoeldners' место происхождения. 
ITEM_20150317_001473	Rodelero Костюм 
ITEM_20150317_001474	Сделаны, чтобы выдержать любой шторм, а также обладая защитными возможностями подходит для Генеральном сражении. 
ITEM_20150317_001475	Сквайр Костюм 
ITEM_20150317_001476	Традиционный костюм отражает оруженосца требование для одежды подходит для дальних путешествий по разнообразным ландшафтам. 
ITEM_20150317_001477	Шиноби Костюм 
ITEM_20150317_001478	Murmillo Костюмы 
ITEM_20150317_001479	Panzer Костюм 
ITEM_20150317_001480	Лансер Костюм 
ITEM_20150317_001481	Драгунский Костюм 
ITEM_20150317_001482	Пиромантов Костюм 
ITEM_20150317_001483	Pyromancers считают, что их костюм представляет их изображения как волшебник и клирик по-джентльменски. 
ITEM_20150317_001484	Cryomancer Костюм 
ITEM_20150317_001485	Созданный чтобы выдерживать не только прохладный ветерок, но сурового холода. Костюм был изменен, чтобы быть чрезвычайно практично, отражающих текущее личности мастера. 
ITEM_20150317_001486	Psychokino Костюм 
ITEM_20150317_001487	Несмотря на свой аккуратный вид, костюм очень свободный, когда она износится. Это происходит потому, что Psychokinos ненавижу быть замкнутыми, то ли это их души или тела. 
ITEM_20150317_001488	Алхимик Костюм 
ITEM_20150317_001489	Этот многослойный костюм разработан таким образом, что ее можно снимать слой за слоем во время чрезвычайной ситуации. 
ITEM_20150317_001490	Костюм Колдуна 
ITEM_20150317_001491	Для волшебника рясу, вполне боевой-оптимизирован. Если кто-то думает об существами они имеют дело с, однако, это очень оправдано. 
ITEM_20150317_001492	Компоновщик Костюм 
ITEM_20150317_001493	Из-за их характера, преследующих связей между вещами, Компоновщики предпочитают простой и простой наряд, который будет напоминать один из вообще ничего. Говорят, делают это так, что люди не имеют стандартизированный вид Линкеры. 
ITEM_20150317_001494	Chronomancer Костюм 
ITEM_20150317_001495	Chronomancers утверждают, что их костюм был Agailla шквал любимый стиль. 
ITEM_20150317_001496	Некромант Костюм 
ITEM_20150317_001497	Хотя некроманты сами не хотят выглядеть мрачным, их костюм темно достаточно, чтобы провести похороны. 
ITEM_20150317_001498	Тауматург Костюм 
ITEM_20150317_001499	По правде говоря, их костюм не соответствует магии, которую они практикуют, но традиции-это очень сильный фактор, который нельзя игнорировать. 
ITEM_20150317_001500	Элементалисты Костюм 
ITEM_20150317_001501	Она была изготовлена, при тщательном рассмотрении, с тем чтобы не быть отождествлен с какой-либо конкретной ветви магии. 
ITEM_20150317_001502	Имитировать Костюм 
ITEM_20150317_001503	Даосский Костюм 
ITEM_20150317_001504	Охотника Костюм 
ITEM_20150317_001505	Костюм оптимизирован и предназначен для длительного выживания в лесу. 
ITEM_20150317_001506	Ссора Шутер Костюм 
ITEM_20150317_001507	Он когда-то униформу охранников крупного города. Впрочем костюма остались прежними даже после ссоры стрелков были длинные разъединенным с такой ролью. 
ITEM_20150317_001508	Рейнджер Костюм 
ITEM_20150317_001509	Рейнджер костюма-эволюционное изменение ссоры шутер костюм. 
ITEM_20150317_001510	Костюм Сапера 
ITEM_20150317_001511	Хотя саперы имеют отношение к армии, их наряд не регулируется из-за их роли специалиста. 
ITEM_20150317_001512	Wugushi Костюм 
ITEM_20150317_001513	Очень традиционный костюм из своего родного города, отражающие их историю. 
ITEM_20150317_001514	Hackapell Костюм 
ITEM_20150317_001515	Этот костюм позволяет владельцу свободно превратить их туловища сидя верхом, и был разработан, чтобы быть удобным для владельца ноги. 
ITEM_20150317_001516	Костюм Разведчика 
ITEM_20150317_001517	Костюм разработан с сосредоточенным внимание на время активности, а не окружающей среды. 
ITEM_20150317_001518	Разбойник Костюм 
ITEM_20150317_001519	Аналогичным образом разработан, чтобы разведчика в костюме, но с лучшей подвижностью. Она явно не подходит для официальных мероприятий. 
ITEM_20150317_001520	Костюм Черного Всадника 
ITEM_20150317_001521	Торжественное и доблестное костюм, который дает уверенность и чувство доверия к окружающим. 
ITEM_20150317_001522	Флетчер Костюм 
ITEM_20150317_001523	Она предлагает удивительное обороноспособности, благодаря плотной ткани, используемые. Учитывая ее носителя роли, мобильностью можно пожертвовать без проблем. 
ITEM_20150317_001524	Сокольник Костюм 
ITEM_20150317_001525	Оценщик Костюм 
ITEM_20150317_001526	Крысолов Костюм 
ITEM_20150317_001527	Мушкетерский Костюм 
ITEM_20150317_001528	Костюм Священника 
ITEM_20150317_001529	Священники считают, что они являются наиболее нейтральным и традиционным среди священнослужителей и их костюм отражает это убеждение. 
ITEM_20150317_001530	Krivis Костюм 
ITEM_20150317_001531	В Krivis с гордостью утверждают, что они являются хранителями древнейших традиционной веры. Их костюм восходит к великому царю Zachariel правило. 
ITEM_20150317_001532	Бокор Костюм 
ITEM_20150317_001533	Костюм штуцер для любой деятельности, будь то для, глядя в хрустальный шар, для вязания, или размахивать оружием. 
ITEM_20150317_001534	Друид Костюм 
ITEM_20150317_001535	Длинная пелерина, используемые в этом костюме сказал, чтобы быть полезным для ourdoor жизни. 
ITEM_20150317_001536	Садху Костюм 
ITEM_20150317_001537	Этот наряд был под сильным влиянием географических координат своего владельца. 
ITEM_20150317_001538	Dievdirbys Костюм 
ITEM_20150317_001539	Излишне говорить, что одежда неудобная для лепки даже не рассматриваются. 
ITEM_20150317_001540	Оракул Костюм 
ITEM_20150317_001541	Мягкий и легкий, этот костюм сказал, чтобы утешить и успокоить ваше тело и душу. 
ITEM_20150317_001542	Монах Костюм 
ITEM_20150317_001543	Костюм подчеркивая торжественность клирик, будучи достаточно комфортной для занятий физической культурой. 
ITEM_20150317_001544	Pardoner Костюм 
ITEM_20150317_001545	Нравятся их костюмы, этот костюм дает ощущение веру другим. 
ITEM_20150317_001546	Паладин Костюм 
ITEM_20150317_001547	Паладины имеют два набора костюмов для разных целей: один для внутреннего, а другой для молитвы открытый бой. На этот раз для последнего. 
ITEM_20150317_001548	Пастух Костюм 
ITEM_20150317_001549	Капеллан Костюм 
ITEM_20150317_001550	Пустая Шляпа 
ITEM_20150317_001551	Волосы Костюм 
ITEM_20150317_001552	Костюм для волос гнездо. Вы можете оборудовать его, щелкнув правой кнопкой мыши элемент. 
ITEM_20150317_001553	Кошачьи Ушки 
ITEM_20150317_001554	В этом обретете вы любовь от определенного животного. 
ITEM_20150317_001555	Кристалл Оголовье 
ITEM_20150317_001556	Конский Хвост 
ITEM_20150317_001557	Очки используются для защиты глаз. 
ITEM_20150317_001558	Стальной Козырек 
ITEM_20150317_001559	Крылья Козырек 
ITEM_20150317_001560	Fedora 
ITEM_20150317_001561	Очки 
ITEM_20150317_001562	Позволяет держать глаза открытыми в любом состоянии. Запотевание может быть проблемой, хотя. 
ITEM_20150317_001563	Lepus Кролика Оголовьем 
ITEM_20150317_001564	Головные уборы, основанные на уши Lepus кролика. С помощью этого не улучшить ваш слух. 
ITEM_20150317_001565	Гинкго Лист 
ITEM_20150317_001566	Легко нашли осенью. Оно может пахнуть как Гинкго фрукты. 
ITEM_20150317_001567	Тигр Махаон 
ITEM_20150317_001568	Испытайте ощущение Тигр Махаон посадки на голове. 
ITEM_20150317_001569	Орлиное Перо 
ITEM_20150317_001570	Может быть использована как пишущий инструмент, если это необходимо. 
ITEM_20150317_001571	Muscharia Шляпа 
ITEM_20150317_001572	Гриб может расти на твоей голове. 
ITEM_20150317_001573	Корона 
ITEM_20150317_001574	С большой властью приходит большая ответственность. 
ITEM_20150317_001575	Белый Цветок Шпилька 
ITEM_20150317_001576	Вам может быть ошибочно принято за ребенком цветов.
ITEM_20150317_001577	Tiger Mask 
ITEM_20150317_001578	Маска с глупым тигром лицом. 
ITEM_20150317_001579	Крошечная Кукла 
ITEM_20150317_001580	Если перед вами стоит реальная Тини, она будет сильно отличаться от куклы. 
ITEM_20150317_001581	Крыло Шлем 
ITEM_20150317_001582	Шлем с крылом украшения. 
ITEM_20150317_001583	Крыло Украшения 
ITEM_20150317_001584	Вдохновленные богиней' крыла. 
ITEM_20150317_001585	Гнездование Яйцо 
ITEM_20150317_001586	Никто не знает, почему яйцо было вложенных на чью-то голову. 
ITEM_20150317_001587	Гнездовой Птенец 
ITEM_20150317_001588	Если Вы не кормите его правильно, вы можете стать лысым из-за голодных чик. 
ITEM_20150317_001589	Гнездование Курица 
ITEM_20150317_001590	Теперь вы всегда будете иметь яйца на завтрак. 
ITEM_20150317_001591	Кампания Шляпа 
ITEM_20150317_001592	Шляпа используется для особого случая или когда маршируют. 
ITEM_20150317_001593	Достоинство джентльмена 
ITEM_20150317_001594	Очень необычные, помпезные шляпы. 
ITEM_20150317_001595	Стильные Очки 
ITEM_20150317_001596	Последние, трендовые очки. Он имеет пару цветных линз. 
ITEM_20150317_001597	Мешок Льда 
ITEM_20150317_001598	Очень хорошо, когда у тебя температура или для охлаждения головы. 
ITEM_20150317_001599	Роза Rugosa 
ITEM_20150317_001600	Запахи очень приятные. 
ITEM_20150317_001601	Шляпа Пуховая 
ITEM_20150317_001602	Не обращай внимания на перо больше, чем шляпа. 
ITEM_20150317_001603	Кленовый Лист 
ITEM_20150317_001604	Руководитель украшение сделано, чтобы выглядеть как кленовый лист. Держите его подальше от огня. 
ITEM_20150317_001605	Красная Шапка С Кисточкой 
ITEM_20150317_001606	Богато украшенный шлем с кистями. Используется иногда высокопоставленного чиновника или авторитетными людьми. 
ITEM_20150317_001607	Медсестра Оголовье 
ITEM_20150317_001608	Носить это не даст вам никакой целительной силой. 
ITEM_20150317_001609	Kateen Цветок Украшения 
ITEM_20150317_001610	Оголовье с цветами из Kateen лес. Он исходит слабый синий свет. 
ITEM_20150317_001611	Собака Уши 
ITEM_20150317_001612	Становятся симпатичнее с этим. 
ITEM_20150317_001613	Корова Оголовье 
ITEM_20150317_001614	Moooo mooooo Moo moo moooo. 
ITEM_20150317_001615	Маленький Лев Маска 
ITEM_20150317_001616	В некоторых регионах люди танцуют во время ношения этой маски изгнать злых духов. 
ITEM_20150317_001617	Большой Лев Маска 
ITEM_20150317_001618	Маска Тэнгу 
ITEM_20150317_001619	На основе народной сказки существо с далекой земли. 
ITEM_20150317_001620	Фокс Маска 
ITEM_20150317_001621	Выглядит как лицо лиса. Люди говорят, что эта маска используется для ношения некоторыми ассасинами. 
ITEM_20150317_001622	Бокалы из параллельного мира 
ITEM_20150317_001623	Если вы носите это, вы будете наслаждаться лучшее восприятие глубины. 
ITEM_20150317_001624	Козий Рог 
ITEM_20150317_001625	Если вы носите это, ваш удар головой мощность может увеличиться. 
ITEM_20150317_001626	Демон Крылья 
ITEM_20150317_001627	Носить это все равно не даст тебе особые полномочия против демонов или наоборот. 
ITEM_20150317_001628	Серебряная Тиара 
ITEM_20150317_001629	Иногда невеста будет носить это во время ее свадьбы. 
ITEM_20150317_001630	Bear Eyemask 
ITEM_20150317_001631	Блокирует свет, так что вы можете спать лучше. 
ITEM_20150317_001632	Символ богатства 
ITEM_20150317_001633	Показать их значение 'богатство'.
ITEM_20150317_001634	Золотой Кролик Шпилька 
ITEM_20150317_001635	Не потеряй его, он сделан из чистого золота. 
ITEM_20150317_001636	Пантовые Рога 
ITEM_20150317_001637	Буксировка саней во время ношения это может не быть плохой идеей. 
ITEM_20150317_001638	Офицер Шлем 
ITEM_20150317_001639	Украшения крепятся на этот шлем, чтобы требовать уважения. 
ITEM_20150317_001640	Применяется Helmet 
ITEM_20150317_001641	Металл, из которого этот шлем был покрыт позолотой пластину. 
ITEM_20150317_001642	Стальной Шлем 
ITEM_20150317_001643	Шлем изготовлен из прочного металла плиты. Часто носили рыцари. 
ITEM_20150317_001644	Черный Кролик Уши 
ITEM_20150317_001645	Знатоки нередко вступают в споры относительно привлекательной женщины фактор прямой ухо против сложенное ухо. 
ITEM_20150317_001646	Кепа Кукла 
ITEM_20150317_001647	Шляпу, представляющий Кепа. 
ITEM_20150317_001648	Розовый Кролик 
ITEM_20150317_001649	Выставлять напоказ свой розовый-розовый-иш привлекательность и остроумие одновременно. 
ITEM_20150317_001650	Кола 
ITEM_20150317_001651	Он сказал, чтобы быть маска, используемая в далекой стране. 
ITEM_20150317_001652	Белый Тигр Маска 
ITEM_20150317_001653	Маска на основе белого тигра, очень редкое животное. 
ITEM_20150317_001654	Glasses 
ITEM_20150317_001655	Помогает вашему зрению. 
ITEM_20150317_001656	Рог Единорога 
ITEM_20150317_001657	Рог Единорога. Считается мифический элемент. 
ITEM_20150317_001658	Красный Рог 
ITEM_20150317_001659	Хотя вы не можете стать демоном, вы можете прикрепить их к вашей голове. 
ITEM_20150317_001660	Пустыня Чупакабра Уши 
ITEM_20150317_001661	Если вы посмотрите внимательно, вы можете увидеть крошечные мягкие волоски на эти уши. 
ITEM_20150317_001662	Mirtis Helmet 
ITEM_20150317_001663	Шлем, который ранее использовался Mirtis. 
ITEM_20150317_001664	Красный Дьявол Крылья 
ITEM_20150317_001665	Why do people want to attach wings to their heads? 
ITEM_20150317_001666	Крылья Ангела 
ITEM_20150317_001667	Я теперь знаю, что чувство одиночества. Это было ошибкой. 
ITEM_20150317_001668	Крылья Ангела Падают 
ITEM_20150317_001669	Ангелы, которые совершили грехи, как говорят, имел их крылья почернели по их коррупции. 
ITEM_20150317_001670	Уборка Оголовье 
ITEM_20150317_001671	How can I serve you today, master? 
ITEM_20150317_001672	Wugushi Жемчуг 
ITEM_20150317_001673	Шлем, который символизирует Wugushis. 
ITEM_20150317_001674	Беруши 
ITEM_20150317_001675	Блоки вне шума. 
ITEM_20150317_001676	Он полностью отрезает вас от любого внешнего звука, в том числе Mandragoras' крики. 
ITEM_20150317_001677	Роскошная Шпилька 
ITEM_20150317_001678	Перо Шлем 
ITEM_20150317_001679	Шаман Маска 
ITEM_20150317_001680	Росток 
ITEM_20150317_001681	Жареное Яйцо 
ITEM_20150317_001682	Сторона Конуса 
ITEM_20150317_001683	Кот Шпилька 
ITEM_20150317_001684	Имперский Шлем 
ITEM_20150317_001685	Мяч из другого мира 
ITEM_20150317_001686	Тяжки Ленты 
ITEM_20150317_001687	Бумажный Журавлик 
ITEM_20150317_001688	Призрак Оголовье 
ITEM_20150317_001689	Карнавал Маска 
ITEM_20150317_001690	Перо Павлина 
ITEM_20150317_001691	Война Капота 
ITEM_20150317_001692	Ананас 
ITEM_20150317_001693	Пустынный Бандит 
ITEM_20150317_001694	Клоунский Колпак 
ITEM_20150317_001695	Сова 
ITEM_20150317_001696	Короны Повязка 
ITEM_20150317_001697	Пудинг 
ITEM_20150317_001698	Невеста Коронет 
ITEM_20150317_001699	Горошек Лента 
ITEM_20150317_001700	Голубая Лента 
ITEM_20150317_001701	Мятно-Шоколадный Кекс 
ITEM_20150317_001702	Клубничный Кекс 
ITEM_20150317_001703	Сливать Имеет 
ITEM_20150317_001704	Точка 
ITEM_20150317_001705	Сбрасывает свой опасный значения. 
ITEM_20150317_001706	Тень Зонтика 
ITEM_20150317_001707	Животное-типа монстры не могут напасть на вас. 
ITEM_20150317_001708	Голова Медузы 
ITEM_20150317_001709	Каменеет врага. 
ITEM_20150317_001710	Путаница Флаг 
ITEM_20150317_001711	Дезориентирует противника. 
ITEM_20150317_001712	Имперский Вентилятор 
ITEM_20150317_001713	Удары противника подальше. 
ITEM_20150317_001714	Demonbane Очарование 
ITEM_20150317_001715	Уменьшает защиту дьявола-типа монстров. 
ITEM_20150317_001716	Бронзовый Компас 
ITEM_20150317_001717	Обеспечивает стойкость против путаницы статус. 
ITEM_20150317_001718	Пузырь Палочка 
ITEM_20150317_001719	Пузырь Персонала 
ITEM_20150317_001720	Вторичный Кинжал 
ITEM_20150317_001721	СПЗН зелье 
ITEM_20150317_001722	СП зелье 
ITEM_20150317_001723	Зелье Скорости 
ITEM_20150317_001724	ГНАУ зелье 
ITEM_20150317_001725	Аггро Зелье 
ITEM_20150317_001726	Мешок Денег 
ITEM_20150317_001727	Медаль 
ITEM_20150317_001728	Четырехлистный Клевер 
ITEM_20150317_001729	Очарование 
ITEM_20150317_001730	Увеличивает критическую скорость.
ITEM_20150317_001731	Алхимия 1 
ITEM_20150317_001732	Алхимия 2 
ITEM_20150317_001733	Алхимия 3 
ITEM_20150317_001734	Алхимия 4 
ITEM_20150317_001735	Алхимия 5 
ITEM_20150317_001736	Алхимия 6 
ITEM_20150317_001737	Алхимия 7 
ITEM_20150317_001738	Алхимия 8 
ITEM_20150317_001739	Алхимия 9 
ITEM_20150317_001740	Алхимия 10 
ITEM_20150317_001741	Алхимия 11 
ITEM_20150317_001742	Алхимия 12 
ITEM_20150317_001743	Алхимия 13 
ITEM_20150317_001744	Алхимия 14 
ITEM_20150317_001745	Алхимия 15 
ITEM_20150317_001746	Примерочная 
ITEM_20150317_001747	Намордники 
ITEM_20150317_001748	Сковорода 
ITEM_20150317_001749	Пиратский Флаг 
ITEM_20150317_001750	Лопата 
ITEM_20150317_001751	Щипцы 
ITEM_20150317_001752	Клеймор Навыки 
ITEM_20150317_001753	Алхимия 16 
ITEM_20150317_001754	Hammer 
ITEM_20150317_001755	Светильник 
ITEM_20150317_001756	Фильтр 
ITEM_20150317_001757	Наковальня Устанавливается 
ITEM_20150317_001758	Хаммер 2 
ITEM_20150317_001759	Материал Мешок 
ITEM_20150317_001760	Дароносица Набор 
ITEM_20150317_001761	Лупа 
ITEM_20150317_001762	Лупа Навыки 
ITEM_20150317_001763	Пустом Космическом 
ITEM_20150317_001764	Пустые Штаны 
ITEM_20150317_001765	Пустые Перчатки 
ITEM_20150317_001766	Пустые Сапоги 
ITEM_20150317_001767	Top 
ITEM_20150317_001768	Stamina +5 Increase Potion 
ITEM_20150317_001769	Щелкните правой кнопкой мыши для использования. 
ITEM_20150317_001770	Малых л. с. зелье 
ITEM_20150317_001771	Восстанавливает 192 лошадиных сил. {nl}восстанавливает HP каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования.
ITEM_20150317_001772	НР зелье 
ITEM_20150317_001773	Восстанавливает 320 лошадиных сил. {nl}восстанавливает HP каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Время восстановления 45 секунд. 
ITEM_20150317_001774	Большие л. с. зелье 
ITEM_20150317_001775	Восстанавливает 640 лошадиных сил. {nl}восстанавливает HP каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Время восстановления 60 секунд. 
ITEM_20150317_001776	Небольшого ИП зелье 
ITEM_20150317_001777	Восстанавливает 144 СП. {nl}восстанавливает СП каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования.
ITEM_20150317_001778	Восстанавливает 240 СП. {nl}восстанавливает СП каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Время восстановления 45 секунд. 
ITEM_20150317_001779	Большие СП зелье 
ITEM_20150317_001780	Восстанавливает 480 СП. {nl}восстанавливает СП каждые 2 секунды в течение 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Время восстановления 60 секунд. 
ITEM_20150317_001781	Выносливость Таблетку 
ITEM_20150317_001782	{памятка кулдаун уже говорилось выше (п. всплывающее, таким образом удаляется здесь}восстанавливает 15 выносливости. Щелкните правой кнопкой мыши для использования.
ITEM_20150317_001783	STA Pill (Medium) 
